apartment_id,apartment_name,apartment_address,school_count
719,대림아파트,서울특별시 동작구 대방동 501,18
736,대방홈타운,서울특별시 동작구 대방동 377-1,18
4558,동민맥스빌B동,서울특별시 강남구 대치동 938-13,18
3593,동성,서울특별시 동대문구 휘경동 308-110,18
3435,동성,서울특별시 강서구 등촌동 691-1,18
48,동일상가,서울특별시 종로구 숭인동 232-29,18
2492,동일씨티빌,서울특별시 도봉구 쌍문동 19-20,18
12,두산,서울특별시 종로구 창신동 232,18
1551,롯데캐슬,서울특별시 중구 황학동 2545,18
934,명일진로,서울특별시 강동구 명일동 47-12,18
1506,문정시영,서울특별시 송파구 문정동 145,18
1738,미동,서울특별시 서대문구 충정로3가 189-8,18
1763,북아현2차,서울특별시 서대문구 북아현동 187-12,18
3474,삼익(1단지),서울특별시 구로구 고척동 330,18
916,삼환,서울특별시 강동구 명일동 47,18
531,샤인팰리스,서울특별시 양천구 신월동 13-3,18
1801,성신,서울특별시 마포구 대흥동 18-55,18
1766,성우아파트,서울특별시 서대문구 북아현동 1-97,18
725,성원,서울특별시 동작구 대방동 500,18
539,세진,서울특별시 양천구 신월동 20-28,18
2466,송천센트레빌,서울특별시 강북구 미아동 461,18
398,수명산SKVIEW,서울특별시 양천구 신월동 1053,18
434,수명산롯데캐슬,서울특별시 양천구 신월동 1036,18
428,수명산태승훼미리,서울특별시 양천구 신월동 18-17,18
39,숭인모범105동,서울특별시 종로구 숭인동 569-3,18
47,숭인상가,서울특별시 종로구 숭인동 204-11,18
2928,시티플레이스,서울특별시 성북구 동소문동6가 3-1,18
355,신공덕래미안2차,서울특별시 마포구 신공덕동 159,18
357,신공덕래미안3차,서울특별시 마포구 신공덕동 161,18
3011,신동아,서울특별시 동작구 신대방동 360-17,18
925,신동아,서울특별시 강동구 명일동 44,18
739,신호리치빌,서울특별시 동작구 대방동 383-17,18
4034,양우,서울특별시 노원구 상계동 1299,18
3446,우당,서울특별시 강서구 등촌동 653-13,18
3033,우성리빙텔,서울특별시 강남구 도곡동 467-10,18
2542,장미(시영6),서울특별시 노원구 하계동 273,18
34,종로센트레빌,서울특별시 종로구 숭인동 2-1,18
2453,참누리아파트,서울특별시 성북구 장위동 316-5,18
1549,청계천두산위브더제니스,서울특별시 중구 흥인동 13-1,18
1964,청솔해오름,서울특별시 강서구 내발산동 660-1,18
2447,코아루센타시아,서울특별시 성북구 동선동1가 121-6,18
3017,타워팰리스2,서울특별시 강남구 도곡동 467-17,18
3420,풍성애뜨란아파트,서울특별시 강서구 등촌동 654-79,18
4268,프라임팰리스(1024-23),서울특별시 강서구 화곡동 1024-23,18
2506,피스플하우스,서울특별시 도봉구 쌍문동 68-1,18
3471,한성,서울특별시 구로구 고척동 227-1,18
2486,한양2,서울특별시 도봉구 쌍문동 59,18
2503,한양5,서울특별시 도봉구 쌍문동 59-3,18
2485,한양6,서울특별시 도봉구 쌍문동 59-5,18
2489,한양7,서울특별시 도봉구 쌍문동 158,18
3296,현대,서울특별시 서대문구 충정로2가 185-15,18
1554,황학동코아루,서울특별시 중구 황학동 882,18
3594,효자워너빌,서울특별시 동대문구 휘경동 264-2,18
4189,희훈리치파크,서울특별시 강서구 화곡동 1011-6,18
3730,강변,서울특별시 강서구 가양동 1475,17
4197,강서동도센트리움,서울특별시 강서구 화곡동 1161,17
535,거산,서울특별시 양천구 신월동 21-4,17
4230,경동엠파이어스테이트,서울특별시 강서구 화곡동 1111-3,17
211,구의현대하이엘,서울특별시 광진구 자양동 779-11,17
189,구의현대홈시티,서울특별시 광진구 자양동 779-8,17
4179,그랜드아이파크,서울특별시 강서구 화곡동 1095,17
15,그린,서울특별시 종로구 창신동 23-326,17
1991,그린씨티,서울특별시 강서구 내발산동 716-16,17
2714,그린아파트,서울특별시 송파구 가락동 1-7,17
1698,금강포란재(101),서울특별시 은평구 구산동 355-82,17
1966,낙원연립재건축조합아파트,서울특별시 강서구 내발산동 708-14,17
1969,내안에이너스,서울특별시 강서구 내발산동 689-12,17
734,다운페라,서울특별시 동작구 대방동 393-26,17
723,다울,서울특별시 동작구 대방동 375-16,17
3444,다울,서울특별시 강서구 등촌동 637-26,17
4362,다울아파트102동,서울특별시 영등포구 신길동 456-93,17
3740,대림경동아파트,서울특별시 강서구 가양동 1474,17
3433,대림아르빌아파트,서울특별시 강서구 등촌동 637-22,17
1765,대성,서울특별시 서대문구 북아현동 1-342,17
2487,대웅,서울특별시 도봉구 쌍문동 13-2,17
1844,동구햇살아파트2차,서울특별시 양천구 목동 715-3,17
404,동원데자뷰,서울특별시 양천구 신월동 1060,17
3442,등촌동현대2차,서울특별시 강서구 등촌동 655-46,17
1556,로얄,서울특별시 중구 황학동 1005,17
1793,마포현대,서울특별시 마포구 공덕동 188-108,17
1753,문영센스빌,서울특별시 서대문구 북아현동 1-46,17
1711,미르라이프,서울특별시 은평구 대조동 186-9,17
2464,미아1차래미안,서울특별시 강북구 미아동 797,17
2918,벽산,서울특별시 중랑구 신내동 437,17
1701,벽산스카이파크,서울특별시 은평구 구산동 355-90,17
2015,보람,서울특별시 강서구 내발산동 686-1,17
3431,보람(640),서울특별시 강서구 등촌동 640,17
2012,보람하이빌,서울특별시 강서구 내발산동 711-1,17
3414,부영,서울특별시 강서구 등촌동 691-3,17
1760,비버리힐,서울특별시 서대문구 북아현동 1-422,17
2462,삼각산아이원,서울특별시 강북구 미아동 1357,17
3448,삼성,서울특별시 강서구 등촌동 660-5,17
4369,삼성,서울특별시 영등포구 신길동 4759,17
4353,삼성래미안,서울특별시 영등포구 신길동 4934,17
4097,삼흥아파트,서울특별시 은평구 불광동 484-57,17
685,상도동래미안1차,서울특별시 동작구 상도동 450,17
4039,센트럴타워,서울특별시 노원구 상계동 581-2,17
1597,송산아파트,서울특별시 성북구 동소문동4가 279,17
503,수명산그린시아,서울특별시 양천구 신월동 1070,17
1982,수명산태송팰리채,서울특별시 강서구 내발산동 688-4,17
1980,수산오성,서울특별시 강서구 내발산동 721-3,17
454,신도브래뉴2차,서울특별시 양천구 신월동 1031,17
1733,신세계드림빌1,서울특별시 은평구 대조동 195-14,17
1712,신세계드림빌2,서울특별시 은평구 대조동 195-20,17
1748,신촌푸르지오,서울특별시 서대문구 북아현동 1011,17
4434,신화아트벨리1차,서울특별시 관악구 신림동 587-98,17
4427,신화아트벨리2차,서울특별시 관악구 신림동 587-97,17
443,아름다운세상,서울특별시 양천구 신월동 1038,17
2269,예일,서울특별시 금천구 시흥동 920-35,17
3692,우공,서울특별시 마포구 염리동 45-27,17
1762,우민B,서울특별시 서대문구 북아현동 1-49,17
2474,월드,서울특별시 강북구 미아동 311-9,17
2482,월드빌라(311-10),서울특별시 강북구 미아동 311-10,17
2005,유니드,서울특별시 강서구 내발산동 712-2,17
543,은성마을승윤노블리안,서울특별시 양천구 신월동 1065,17
4301,은하수,서울특별시 강서구 화곡동 1014-12,17
1971,이너스101동,서울특별시 강서구 내발산동 688-5,17
2003,이너스102동,서울특별시 강서구 내발산동 688-40,17
1092,전농동하우스토리,서울특별시 동대문구 전농동 32-4,17
2692,정산파크뷰,서울특별시 송파구 가락동 6-8,17
4077,정익제이원(4차),서울특별시 은평구 불광동 484-56,17
4055,주공4,서울특별시 노원구 중계동 358-2,17
4061,중계스타클래스,서울특별시 노원구 중계동 599,17
1552,중구리버빌,서울특별시 중구 황학동 981,17
14,창신쌍용1,서울특별시 종로구 창신동 702,17
2020,천우네오젠(693),서울특별시 강서구 내발산동 693,17
3987,청구103동,서울특별시 중구 신당동 841-12,17
4241,청솔,서울특별시 강서구 화곡동 1014-20,17
1995,청솔수(711-6),서울특별시 강서구 내발산동 711-6,17
1977,태승훼미리2,서울특별시 강서구 내발산동 685,17
237,한신,서울특별시 동대문구 청량리동 60,17
3437,현대,서울특별시 강서구 등촌동 655-27,17
1751,화신,서울특별시 서대문구 북아현동 1-78,17
1795,효창그린아파트,서울특별시 마포구 공덕동 11-168,17
1555,(1546-0),서울특별시 중구 황학동 1546,16
25,MID그린(1동),서울특별시 종로구 창신동 601,16
20,MID그린(3동),서울특별시 종로구 창신동 601-2,16
2673,가락쌍용(2차),서울특별시 송파구 가락동 21-6,16
2671,가락현대투웰브(101동),서울특별시 송파구 가락동 198-9,16
2699,가락현대투웰브(102동),서울특별시 송파구 가락동 198-13,16
3733,가양1차보람더하임,서울특별시 강서구 가양동 1497,16
3738,가양강나루현대,서울특별시 강서구 가양동 448-1,16
4184,강서그랜드아이파크주상복합,서울특별시 강서구 화곡동 1095-4,16
4169,강서힐스테이트,서울특별시 강서구 화곡동 1165,16
2010,강성레스트빌아파트,서울특별시 강서구 내발산동 717-20,16
2364,개포주공5단지,서울특별시 강남구 개포동 187,16
2282,건우한마음,서울특별시 금천구 시흥동 929-33,16
729,경남아너스빌,서울특별시 동작구 대방동 512,16
2921,경원,서울특별시 중랑구 신내동 449-1,16
2727,고려아파트(A동),서울특별시 강동구 천호동 22-6,16
364,공덕프로포즈Ⅱ,서울특별시 마포구 신공덕동 15-80,16
303,극동,서울특별시 노원구 월계동 803-1,16
2502,극동아파트,서울특별시 도봉구 쌍문동 721,16
2228,금강(343),서울특별시 구로구 오류동 343,16
2693,금성프라자1,서울특별시 송파구 가락동 197-12,16
2497,금호1,서울특별시 도봉구 쌍문동 199-1,16
