source_apartment_name,target_apartment_name,distance_meters,distance_km
DMC월드,자선메르시안(162-20),61.44112858,0.06
DMC이랜드해가든,월드컵현대,105.640599,0.11
DMC자이1단지,DMC자이2단지,121.6764901,0.12
DMC자이2단지,DMC자이1단지,121.6764901,0.12
DMC파크뷰자이1단지,DMC파크뷰자이5단지,0,0.00
DMC파크뷰자이1단지,DMC파크뷰자이2단지,0,0.00
DMC파크뷰자이1단지,DMC파크뷰자이4단지,0,0.00
DMC파크뷰자이1단지,DMC파크뷰자이3단지,0,0.00
DMC파크뷰자이2단지,DMC파크뷰자이4단지,0,0.00
DMC파크뷰자이2단지,DMC파크뷰자이1단지,0,0.00
DMC파크뷰자이2단지,DMC파크뷰자이5단지,0,0.00
DMC파크뷰자이2단지,DMC파크뷰자이3단지,0,0.00
DMC파크뷰자이3단지,DMC파크뷰자이1단지,0,0.00
DMC파크뷰자이3단지,DMC파크뷰자이5단지,0,0.00
DMC파크뷰자이3단지,DMC파크뷰자이4단지,0,0.00
DMC파크뷰자이3단지,DMC파크뷰자이2단지,0,0.00
DMC파크뷰자이4단지,DMC파크뷰자이3단지,0,0.00
DMC파크뷰자이4단지,DMC파크뷰자이1단지,0,0.00
DMC파크뷰자이4단지,DMC파크뷰자이5단지,0,0.00
DMC파크뷰자이4단지,DMC파크뷰자이2단지,0,0.00
DMC파크뷰자이5단지,DMC파크뷰자이4단지,0,0.00
DMC파크뷰자이5단지,DMC파크뷰자이3단지,0,0.00
DMC파크뷰자이5단지,DMC파크뷰자이2단지,0,0.00
DMC파크뷰자이5단지,DMC파크뷰자이1단지,0,0.00
DMC한양,선결,135.79776667,0.14
DMC현대아파트,선결,57.8331911,0.06
DMC휴먼빌아파트,청솔하이츠1동,67.43098246,0.07
DUO302,한양I-Class,58.12250381,0.06
E-아름다운세상,서울숲금강아미움,156.38353687,0.16
EGSoulLeader,월드102,57.69115439,0.06
EL샤틀레,동훈노보빌,51.27786254,0.05
FIRSTVIEW,파크(가),101.76581246,0.10
GS자이,SK청암대(64-1),71.72858967,0.07
G패밀리움,홍은동아더프라임,141.35817591,0.14
IS아파트,미래한건아파트101동,131.64903865,0.13
JS아파트,SM이로빌4차A동(455-5),23.53430404,0.02
K.L.C,잠실한솔,377.97705689,0.38
KCC엠파이어리버,그레이스3차,142.56400777,0.14
KNP이스트빌,KNP주상복합1,57.53475678,0.06
KNP주상복합1,KNP이스트빌,57.53475678,0.06
LG선릉에클라트(A),LG선릉에클라트(B),43.78258037,0.04
LG선릉에클라트(B),LG선릉에클라트(A),43.78258037,0.04
LG한강자이,리버뷰,77.93757469,0.08
LIG5차,서초그린,109.53120561,0.11
LIGA,한양립스,31.7447717,0.03
LIG건영,정진아트리움,80.36070794,0.08
LIG건영캐스빌,수산트리플,111.87229734,0.11
LIG대학마을(건영아파트3차),LIG5차,163.41323604,0.16
LIG서울역리가,서울역디오빌,96.40420669,0.10
LIPe-푸른아파트,신양지(가동),105.09065405,0.11
MARKHILLS,중앙궁전빌라트,389.9881956,0.39
MID그린(1동),MID그린(3동),26.94873626,0.03
MID그린(3동),MID그린(1동),26.94873626,0.03
MID그린(5동),MID그린(6동),17.81123786,0.02
MID그린(6동),MID그린(5동),17.81123786,0.02
MID그린(7동),MID그린(6동),26.90185099,0.03
N-Suite(1513-2),스위트빌,32.32292363,0.03
NEWSK아파트,근상아트프리즘,23.88040212,0.02
ParkPalaceII,수산팰리스,70.10326302,0.07
RudenHouse,신사아이빌(522),166.17567481,0.17
SG타워,현대휴온,188.90214928,0.19
SK,홍익봄마을,225.36899029,0.23
SKVIEW,신성은하수,120.48534011,0.12
SK리더스뷰(파스텔시티),신주,189.04721778,0.19
SK리더스뷰남산,남산롯데캐슬아이리스,149.40258962,0.15
SK청암대(64-1),GS자이,71.72858967,0.07
SK허브프리모,원팰리스,108.42396298,0.11
SM드림빌,삼성벨라스빌,107.42791927,0.11
SM빌,광남아파트101동,55.00960679,0.06
SM엘루이,남서울힐스테이트,239.82552419,0.24
SM엘루이아파트,목동해오름102동,162.61149984,0.16
SM이로빌4차A동(455-5),JS아파트,23.53430404,0.02
SM이로빌4차B동(455-4),SM이로빌4차A동(455-5),31.70696822,0.03
SM이로빌5차,태솔에버빌,38.07738209,0.04
SM이로빌아파트,천호2차이룸아파트,50.15685952,0.05
SM해그린,금호어울림,60.54756052,0.06
SM해그린12차,유덕휴먼빌,39.68279151,0.04
SPACE(920-5),한백아파트,43.24433703,0.04
SR친오애,하나세인스톤2차,26.40242672,0.03
THESILK,성재I캐슬2차,34.65948721,0.03
ThePlusⅢ,메이(124-12),23.07514025,0.02
UPPERHOUSE,프레스턴클레식,48.77651973,0.05
VIP(602-284),카사빌,116.25488965,0.12
YM프라젠,양지쉐르빌아파트(415-1),279.27662977,0.28
e-편한세상,논현프라임아파트,41.65654484,0.04
e-푸른가동,매원아파트,17.02329575,0.02
e편한세상,쌍문금용,77.43288791,0.08
e편한세상 수색 에코포레,진흥엣세벨,165.34916433,0.17
kcc웰츠,대우메트로디오빌,80.92388821,0.08
sk파크타워,주성파크빌,113.32815222,0.11
urbanplace,서초동대우디오빌프라임,90.3046042,0.09
가락(1차)쌍용아파트,가락한일유앤아이,150.78594213,0.15
가락3차쌍용스윗닷홈(103동),"가락3차쌍용스윗닷홈101동,102동",35.5591634,0.04
"가락3차쌍용스윗닷홈101동,102동",가락3차쌍용스윗닷홈(103동),35.5591634,0.04
가락그랑밸리,신한빌라트-신한미지엔,44.85824345,0.04
가락금호아파트,그랜드,250.49132564,0.25
가락미륭아파트,가락그랑밸리,198.17603116,0.20
가락삼익맨숀,래미안송파파인탑,169.02603486,0.17
가락스타클래스,르네상스빌,79.53404268,0.08
가락쌍용(2차),쌍용노블래스,152.56378564,0.15
가락우성2,성해,152.69609557,0.15
가락한일유앤아이,풍림1,34.85147431,0.03
가락현대투웰브(101동),가락현대투웰브(102동),17.69598412,0.02
가락현대투웰브(102동),가락현대투웰브(101동),17.69598412,0.02
가람,목련타운,268.35449521,0.27
가산양우내안에애플,가산지웰에스테이트,80.74111669,0.08
가산지웰에스테이트,비즈트위트바이올렛5차,67.85814762,0.07
가야써니빌,다성,46.07086661,0.05
가야써니빌(373-7),제이드파크(382-2),43.08341204,0.04
가양1차보람더하임,강서한강자이,87.74023362,0.09
가양2단지(성지),강서한강월드메르디앙,285.27919122,0.29
가양6단지,보광드림타운,315.97808028,0.32
가양강나루현대,빛고을우방,112.57375804,0.11
가양도시개발9-2단지,강변월드메르디앙,194.42705419,0.19
가양우성,강나루2현대,181.08419024,0.18
가우디캐슬,양지쉐르빌아파트(415-1),36.65372039,0.04
가우디트윈캐슬1,한강훼미리주상복합아파트,42.10575864,0.04
각산,독산주공14단지,456.70645165,0.46
갈현1단지e-편한세상,대림e-편한세상2,73.87892612,0.07
갈현건영,인우(281-215),468.4431416,0.47
갈현동현대,반도하우드,137.97570902,0.14
갈현삼성,아름(526-2),132.44390742,0.13
갈현현대,금강포란재(101),67.69767972,0.07
갑오빌라트,아르누보팰리스,281.63385025,0.28
갑을,닷컴오뜨빌,52.17159192,0.05
갑을명가,동문아트빌,124.01713823,0.12
갑을아파트,대아파크빌,304.30130653,0.30
갑지하이린,강동네스빌,58.55965756,0.06
강국,거산,35.51356989,0.04
강나루2현대,가양강나루현대,115.72628134,0.12
강남 더샵 포레스트,강남데시앙포레,354.80985626,0.35
강남데시앙파크,강남신동아파밀리에1단지,441.55664173,0.44
강남데시앙포레,강남 더샵 포레스트,354.80985626,0.35
강남상가,래미안신사,176.88287442,0.18
강남서해그랑블,역삼동월드메르디앙,66.66054093,0.07
강남신동아파밀리에1단지,강남신동아파밀리에2단지,199.3354808,0.20
강남신동아파밀리에2단지,세곡리엔파크(3단지),152.67610258,0.15
강남아르젠,서초타운트라팰리스,47.41489825,0.05
강남엘에이치1단지,강남한신휴플러스6단지,242.41959765,0.24
강남역우정에쉐르,(828-21),113.1721603,0.11
강남태영데시앙루브,서초한일유앤아이주상복합,95.7223249,0.10
강남한솔,노블카운티,26.69198764,0.03
강남한신휴플러스6단지,강남엘에이치1단지,242.41959765,0.24
강남한신휴플러스8단지,래미안포레,521.63681362,0.52
강남한양수자인(4단지),래미안포레,220.59823399,0.22
강동,에이원B둥,87.44731332,0.09
강동LG자이,삼익세라믹,71.67125846,0.07
강동네스빌,갑지하이린,58.55965756,0.06
강동렘브란트,청광플러스원큐브2차,29.77986218,0.03
강동상떼빌,현진에스페랑스,126.58477738,0.13
강동역두산위브센티움,다성이즈텔,80.57021579,0.08
강동역신동아파밀리에,진넥스빌Ⅲ,53.33683931,0.05
강동역에스케이허브,현대코아아파트,115.76166932,0.12
강동와이시티,강동한신휴플러스,43.24659295,0.04
강동이루미아파트,대명사이버아파트,57.63757054,0.06
강동큐브,하이브,23.69590826,0.02
강동큐브(2차),청광플러스원큐브3차,38.95130519,0.04
강동한신휴플러스,강동와이시티,43.24659295,0.04
강림스위트빌,신부3차파스카,68.11707896,0.07
강변,강서,42.30413616,0.04
강변건영아파트,한진타운,84.46087378,0.08
강변그대가갤럭시,강변그대가리버뷰,198.22913563,0.20
강변그대가리버뷰,신주아파트(102동),141.73484785,0.14
강변그린,밤섬예가클래식,138.94174171,0.14
강변금호타운,강변임광,41.24563647,0.04
강변동양,강변건영아파트,315.6349652,0.32
강변래미안,휴브리지빌딩,145.68146906,0.15
강변삼부아파트,삼부아파트(101동),35.2870625,0.04
강변삼성스위트,SK청암대(64-1),145.63268206,0.15
강변아파트,현대13차폴라트리움,91.40929919,0.09
강변월드메르디앙,벽산늘푸른,81.41725891,0.08
강변임광,강변금호타운,41.24563647,0.04
강변청구3,청구강변1,76.19110905,0.08
강변코아루,염창3차보람,57.00452724,0.06
강변타운,한강1차대주피오레,71.11505612,0.07
강변한솔솔파크,엠그린,104.04576738,0.10
강변한신코아,비체힐리버뷰,131.03319122,0.13
강변현대,케이앤피상상,318.2930719,0.32
강변현대하이엘,광진해모로리버뷰,88.56160841,0.09
강변힐스테이트,염창힐스테이트,88.76951933,0.09
강변힐하우스,광진해모로리버뷰,160.3472398,0.16
강산빌라트,목동2차아이파크,69.23848053,0.07
강서,강변,42.30413616,0.04
강서그랜드아이파크주상복합,그랜드아이파크,69.50799019,0.07
강서뉴,도양라비앙아파트,18.57762618,0.02
강서뉴타워,원흥타운,64.49111057,0.06
강서동도센트리움,경동엠파이어스테이트,99.65967781,0.10
강서센트레빌3차,강서센트레빌3차(894-0),68.7215499,0.07
강서센트레빌3차(894-0),강서센트레빌3차,68.7215499,0.07
강서쌍용예가,엠그린,62.16197891,0.06
강서아이파크,서광프리메라,38.19651292,0.04
강서월드메르디앙,청솔해오름,70.47654769,0.07
강서타워,근상프리즘(955-9),338.63020282,0.34
강서한강월드메르디앙,동신대아,264.90741809,0.26
강서한강자이,가양1차보람더하임,87.74023362,0.09
강서힐스테이트,덕현타워,250.09931249,0.25
강성레스트빌아파트,명진에버그린,111.32228366,0.11
강일리버파크10단지,강일리버파크9단지,169.64064296,0.17
강일리버파크1단지,강일리버파크3단지,239.13463338,0.24
강일리버파크2단지,강일리버파크4단지,229.50024858,0.23
강일리버파크3단지,강일리버파크4단지,163.27012162,0.16
강일리버파크4단지,강일리버파크3단지,163.27012162,0.16
강일리버파크5단지,강일리버파크4단지,164.80457126,0.16
강일리버파크6단지,강일리버파크7단지,243.76467832,0.24
강일리버파크7단지,강일리버파크6단지,243.76467832,0.24
강일리버파크8단지,강일리버파크9단지,221.42375931,0.22
강일리버파크9단지,강일리버파크10단지,169.64064296,0.17
강촌,이촌코오롱(A),102.15397547,0.10
강호,동진노블클래스,150.4713346,0.15
개나리,대보,61.51115605,0.06
개나리SK뷰,대치한신휴플러스,152.53493429,0.15
개나리래미안,역삼푸르지오,96.25599891,0.10
개나리푸르지오,개나리SK뷰,187.97348122,0.19
개봉동상우,상우,104.99618137,0.10
개봉동현대아이파크,현대홈타운,237.16983514,0.24
개봉청구,개봉푸르지오,321.5354254,0.32
개봉푸르지오,고운아파트,264.96903758,0.26
개성팰리스,두성아파트,64.07891046,0.06
개성하이뷰,신아,94.38848705,0.09
개인택시주택조합(미성아파트),면목동2차미소지움아파트,466.7926654,0.47
개포2차현대아파트(220),개포현대200동,45.42849528,0.05
개포6차우성아파트1동~8동,포이벨리,246.41135206,0.25
개포우성1,개포우성2,236.90524814,0.24
개포우성2,개포우성1,236.90524814,0.24
개포우성3차,경남2차,173.49022134,0.17
개포우성3차,경남1,173.49022134,0.17
개포자이,성원대치2단지아파트,265.4473307,0.27
개포자이,삼익대청아파트,265.4473307,0.27
개포주공1단지,개포6차우성아파트1동~8동,467.6177021,0.47
개포주공4단지,개포주공5단지,250.46215078,0.25
개포주공5단지,개포주공4단지,250.46215078,0.25
개포주공6단지,개포주공7단지,0,0.00
개포주공7단지,개포주공6단지,0,0.00
개포한신,우성7,142.82452379,0.14
개포현대200동,개포2차현대아파트(220),45.42849528,0.05
개포현대6차,우찬현대(1260-11),256.87677633,0.26
개화,동성,131.5169506,0.13
개화산경남아너스빌,지니스힐,40.94586001,0.04
갤러리아팰리스,레이크팰리스,206.22357581,0.21
갤러리아포레,서울숲성수현대,297.14047494,0.30
갤러리하우스,N-Suite(1513-2),45.08974589,0.05
갤럭시타운,주주베에이,195.643298,0.20
거산,강국,35.51356989,0.04
거상센스빌(956-6),백운스위트빌,69.25349773,0.07
거상센스빌(960-5),백운스위트빌,31.06712806,0.03
거성,진로,156.75175178,0.16
거성리젠시2차,센타폴리스,84.5530266,0.08
거성파스텔,양평현대6차,149.3373038,0.15
거성푸르뫼,거성푸르뫼2,93.56726202,0.09
거성푸르뫼2,거성푸르뫼,93.56726202,0.09
거성학마을아파트,부영팰리스,341.97587497,0.34
거여1단지,거여2단지효성아파트,165.59325722,0.17
거여2단지효성아파트,거여1단지,165.59325722,0.17
거여4단지,거여5단지,139.38950563,0.14
거여5단지,거여4단지,139.38950563,0.14
거평빌라트,노블카운티,47.78692162,0.05
거평프리젠,논현프라임아파트,71.20618047,0.07
건양노블레스빌,풍림아이원,71.43516612,0.07
건양하늘터,아미레스아파트,132.71140301,0.13
건영,거성푸르뫼,244.5156985,0.24
건영(103동-106동),형인한강,87.1400882,0.09
건영1,동부브리앙뜨1,158.05157353,0.16
건영2,중계그린1단지,383.486619,0.38
건영2차,대성유니트,136.13479946,0.14
건영2차아파트,태영데시앙1,216.40932189,0.22
건영3,롯데우성,234.23733278,0.23
건영4,동부,342.14746143,0.34
건영6,서울대입구삼성,102.5407735,0.10
건영아파트,신한양아파트,52.72486749,0.05
건영월드컵,성사1차풍림아파트101동,66.41889526,0.07
건영장미아파트,태승훼미리아파트,75.17113988,0.08
건영캐스빌,"엘지,쌍용아파트",142.39485592,0.14
건우그린,엘르빌2차,117.74801616,0.12
건우샹그리라,서안,45.70057043,0.05
건우한마음,관악산신도브래뉴,151.55342241,0.15
건원베스트원,남청파인힐(101동),92.0863225,0.09
건일팰리스,우민B,49.36493536,0.05
건진,삼성(766-1),46.99958388,0.05
경남,자양현대5,71.74953577,0.07
경남1,경남2차,0,0.00
경남102동,북아현경남,68.10946211,0.07
경남2,양우,59.80879416,0.06
경남2차,경남1,0,0.00
경남교수,한성아파트,156.0977925,0.16
경남논현,아크로힐스논현,144.7295785,0.14
경남레이크파크,여흥레이크빌,88.58480803,0.09
경남아너스빌,현대3,108.34657531,0.11
경남아너스빌(1356-0),미아한일유앤아이,79.35883906,0.08
경남아너스빌(1608-8),극동스타클래스2,47.80711521,0.05
경남아너스빌(대아3),사당우성2,184.61708501,0.18
경남아너스빌(대아3),사당우성3,184.61708501,0.18
경남아너스빌(대아3),극동(105),184.61708501,0.18
경남아너스빌1차,경남아너스빌2차,94.38454279,0.09
경남아너스빌201동,서린,60.34744946,0.06
경남아너스빌2차,대창센시티,77.73495235,0.08
경남아파트,시흥(817-29),169.15962142,0.17
경덕,석촌,447.64731534,0.45
경동미주,현대,112.8678851,0.11
경동엠파이어스테이트,그랜드아이파크,81.92156474,0.08
경동윈츠리버,한강쌍용,295.54184022,0.30
경동팰리스힐,신안네트빌1단지,61.04850455,0.06
경보그레이스힐,일심,82.47720866,0.08
경성B,(779-2),18.00542253,0.02
경성빌라,(792-86),12.10346011,0.01
경원,신내아트빌,44.46689135,0.04
경원로얄시티,관악미래가,27.03733742,0.03
경원시티,관악태우미소가,202.79821819,0.20
경원파발리안,굿모닝기룡아파트,70.36661142,0.07
경일역삼,쎄비앙101동,83.88354758,0.08
경지리버캐슬,한강리치팰리스,49.83598163,0.05
경향렉스빌,동아,197.73268796,0.20
경향빌라트,연화,202.90101909,0.20
경향파크,명남아파트,132.69442605,0.13
경헌그린아파트,그린빌아파트,73.08278921,0.07
경희,청솔,49.25515409,0.05
경희궁의아침2단지,경희궁파크팰리스,69.37547138,0.07
경희궁의아침3단지,경희궁의아침2단지,78.99015085,0.08
경희궁의아침4단지,세종로대우,91.0244649,0.09
경희궁파크팰리스,경희궁의아침2단지,69.37547138,0.07
계룡아파트,한아마인드,117.44812777,0.12
계명(1075-31),서부인터빌아파트,96.24687097,0.10
계명(350-33),계명(350-34),19.24438571,0.02
계명(350-34),계명(350-33),19.24438571,0.02
계명(849-7),신도금잔디,184.3796224,0.18
계명가동,우성트윈캐슬A동,29.30147302,0.03
계명가동(343-65),우성(343-75),42.60267545,0.04
계명위너스,등촌6차보람,156.7446583,0.16
계영주택(738-27),청우아트빌리지(738-39),15.80088196,0.02
고덕 아이파크,배재현대,379.50337941,0.38
고덕골든빌(101동),고덕골든빌(102동),14.60548729,0.01
고덕골든빌(102동),고덕골든빌(101동),14.60548729,0.01
고덕골든빌(103동),고덕골든빌(102동),17.96415698,0.02
고덕리엔파크1단지,고덕리엔파크2단지,216.0554248,0.22
고덕리엔파크2단지,고덕리엔파크1단지,216.0554248,0.22
고덕리엔파크3단지,고덕리엔파크2단지,770.01448807,0.77
고덕삼환아파트,고덕주공9,176.30083059,0.18
고덕주공9,고덕삼환아파트,176.30083059,0.18
고려,성지,63.36411254,0.06
고려아파트(A동),고려아파트(D동),35.06746932,0.04
고려아파트(D동),고려아파트(A동),35.06746932,0.04
고명,정릉2차e-편한세상,135.82334235,0.14
고운아파트,개봉푸르지오,264.96903758,0.26
고은,광산,53.61545708,0.05
고척LIG리가1차,고척LIG리가2차,86.02004465,0.09
고척LIG리가2차,고척LIG리가1차,86.02004465,0.09
고척월드메르디앙,마젤란,172.94385623,0.17
고척파크푸르지오,하이리빙,204.90890101,0.20
골드마인(가동),골드마인(나동),18.13740927,0.02
골드마인(나동),골드마인(가동),18.13740927,0.02
골드빌,풍산쉐르빌A동,102.33152098,0.10
골드빌4차,한빛골드빌1차,27.12485526,0.03
골드스타,대조동아트캐슬주상복합,73.18762653,0.07
골드아트빌,신구하이텍빌리지,97.01564611,0.10
골드팰리스아파트,대련,206.05903078,0.21
골드하임(102동),지원골드아파트,27.17306335,0.03
골든빌(210-10),선경빌라트,108.7766835,0.11
골든빌(99-1),삼부아파트102동,40.18036198,0.04
골든빌6차,성산힐아파트,53.08626319,0.05
공감대,문수해오름,47.44219802,0.05
공감대(378-3),공감대2차(375-7),29.77065199,0.03
공감대(380-1),가우디트윈캐슬1,69.94847923,0.07
공감대(440-12),SM이로빌4차B동(455-4),69.56101262,0.07
공감대2차(375-7),장안동공감대(375-11),23.10400027,0.02
공덕1삼성래미안,마포공덕파크팰리스Ⅱ,165.23297771,0.17
공덕2삼성래미안,공덕자이,242.70917068,0.24
공덕3삼성래미안,마포공덕파크팰리스Ⅱ,109.7695905,0.11
공덕아이파크,공덕프로포즈Ⅱ,98.57146037,0.10
공덕자이,예미원,197.94856828,0.20
공덕파크자이,롯데캐슬프레지던트,228.32254528,0.23
공덕프로포즈Ⅱ,공덕아이파크,98.57146037,0.10
공덕현대,공덕3삼성래미안,182.228549,0.18
공릉1단지아파트,삼익4단지아파트,158.80091842,0.16
공릉2신도브래뉴아파트,신대림아파트,68.40537515,0.07
공릉동한보에센시티아파트,동부아파트,149.29656795,0.15
공릉우성아파트,서일이츠뷰,151.20677549,0.15
공릉해링턴플레이스,우방아파트,125.92750536,0.13
공성,현대,86.81654303,0.09
공신,동림푸른,92.71969647,0.09
공작,서울,125.07130757,0.13
공작빌라트,방배블레스밸리,242.28469305,0.24
공항동부센트레빌,AirPalace(619-7),239.70855838,0.24
관악,서초그린,197.04919124,0.20
관악교수,반석블레스빌,87.12153158,0.09
관악동부센트레빌,관악유앤아이,50.46371978,0.05
관악드림(동아),관악드림(삼성),0,0.00
관악드림(삼성),관악드림(동아),0,0.00
관악미래가,경원로얄시티,27.03733742,0.03
관악산대창센시티,관악산대창센시티2차,41.00607699,0.04
관악산대창센시티2차,관악산대창센시티,41.00607699,0.04
관악산벽산타운5,애시안아파트,523.50651418,0.52
관악산센텀,플라워스위트101동102동,98.57115181,0.10
관악산신도브래뉴,남서울건영2,150.29478026,0.15
관악산휴먼시아1단지,신림2차푸르지오,120.14874886,0.12
관악산휴먼시아2단지,신림2차푸르지오,248.3375251,0.25
관악월드메르디앙,태승,100.24672044,0.10
관악위버폴리스,신원메트로빌,191.68307282,0.19
관악유앤아이,관악동부센트레빌,50.46371978,0.05
관악청광플러스원,벽산블루밍3차,113.47982258,0.11
관악캠퍼스타워,서울대역마에스트로,35.62644384,0.04
관악태우미소가,경원시티,202.79821819,0.20
