source_apartment_name,target_apartment_name,distance_meters,distance_km
두산위브트레지움,동부센트레빌,88.43830016,0.09
두산위브트레지움2차,상도두산위브,96.66619609,0.10
두산힐스빌아파트,비콘아파트,87.24056706,0.09
두성,건우샹그리라,99.40925849,0.10
두성아파트,개성팰리스,64.07891046,0.06
두양그린A동,리치안풍산,116.02050447,0.12
두영,논현아트빌,34.02479929,0.03
두영이지안,삼성강변,148.66176396,0.15
두영이지안101동,장미(466-0),59.58790142,0.06
두예파크빌,스카이빌(8-87),104.11030562,0.10
두원,늘푸른동아,95.84752654,0.10
두원빌드피아(444-7),신성미소지움3차아파트,64.92047577,0.06
두원빌드피아(510-3),장수마을,67.76456028,0.07
두원프라자,성북프라자,138.63578456,0.14
두일,우남,155.06769942,0.16
두진아이브(305-22),미르라이프,106.05288484,0.11
두진한아름,샹보르,49.45426933,0.05
둔촌늘푸른,동호리츠빌,73.70697375,0.07
둔촌역아치스톤(101동),태천해오름(412-1),49.00340197,0.05
둔촌역청구,주성AURA1,71.18908777,0.07
둔촌주공1단지,둔촌주공4단지,0,0.00
둔촌주공2단지,둔촌주공3단지,0,0.00
둔촌주공3단지,둔촌주공2단지,0,0.00
둔촌주공4단지,둔촌주공1단지,0,0.00
둔촌푸르지오,초원동아,123.08286446,0.12
둔촌하이츠,신동아파밀리에,75.17668626,0.08
드리밍아파트,에코빌리지,28.84272241,0.03
드림,블루빌,59.57624919,0.06
드림리버빌,강변래미안,148.13852052,0.15
드림스빌,원다빌2,169.89640047,0.17
드림시드,훼미리하우스138,129.54684585,0.13
드림캐슬2차,은탑로얄클라스,112.08001622,0.11
드림캐시아1,서강스카이빌3(116-24),26.31386228,0.03
드림캐시아2,신진뉴캐슬,77.75133218,0.08
드림팰리스,APELBAUM,45.47177697,0.05
드림팰리스103동,미영(101),36.86033165,0.04
"등촌1,2단지주공아파트",부영,190.05980411,0.19
등촌5차보람쉬움,염창2차보람,82.6580944,0.08
등촌6차보람,나성,68.52937601,0.07
"등촌7,8단지주공아파트",가양우성,272.21698028,0.27
등촌동보람쉬움아파트,제일(코오롱),86.21504524,0.09
등촌동아이파크,대림e편한세상,304.9493801,0.30
등촌동현대2차,등촌동보람쉬움아파트,155.33050934,0.16
등촌라인(조합),빛고을우방,178.08289451,0.18
디아이빌101동,향교,117.60358973,0.12
디아이빌102동,우정,64.52256201,0.06
디안(89-77),삼성타운,51.37623366,0.05
디오반,증산중앙하이츠,47.2268113,0.05
디오수페리움2,방배디오슈페리움Ⅰ,39.49446567,0.04
디케이,프라우드아파트,98.2550781,0.10
디큐브시티,신성은하수,157.99490455,0.16
뚝섬현대,서울숲해오름(717-0),63.59723122,0.06
라메즈아파트,세영아파트,37.07725277,0.04
라빌레뜨,베로니스3차,25.94375445,0.03
라온유,길음뉴타운9단지(래미안),123.83604547,0.12
라온채,방배3차e-편한세상,70.03584468,0.07
라움(492-45),효정하나플러스,258.34941647,0.26
라움아파트,VIP(602-284),119.61804324,0.12
라이즈1동,라이즈2동,26.36435362,0.03
라이즈2동,라이즈1동,26.36435362,0.03
라이프,이랜드해가든,71.14380693,0.07
라이프101동(544)102동(544-1),광남캐스빌(631),98.99072705,0.10
라이프미성,대성유니트,197.95631211,0.20
라이프시티,메카,126.66234064,0.13
라이프씨티,역촌센트레빌,102.65794911,0.10
라이프콤비,리버타워,54.73486218,0.05
라이헤스빌,논현웰스톤,65.22054962,0.07
라인,다성팰리스,81.14080305,0.08
라인성서,성산동자담이움아파트,74.18471956,0.07
라파예트,베로니스5차,33.20440475,0.03
랑쉐빌,윌턴빌,42.04841135,0.04
래디앙,엘르빌2차,50.17463949,0.05
래디앙아파트,신한훼미리,47.35509432,0.05
래미안 옥수 리버젠,옥수파크힐스117동~125동,220.89073237,0.22
래미안 허브리츠,롯데캐슬피렌체,205.69598449,0.21
래미안강남힐즈,(토지임대부아파트)강남브리즈힐,321.4622932,0.32
래미안공덕4차,마포현대,102.06041769,0.10
래미안공덕5차,래미안공덕4차,121.39249625,0.12
래미안그레이튼,상지리츠빌역삼2차,155.78376698,0.16
래미안그레이튼(진달래2차),대림역삼,144.52058711,0.14
래미안남가좌2차,DMC래미안e편한세상,200.06816063,0.20
래미안당산1차,당산디오빌,322.89736741,0.32
래미안대치팰리스,대치삼성,234.53972418,0.23
래미안대치하이스턴,상지리츠빌카일룸(1009-4),238.82114708,0.24
래미안도곡카운티,트레벨,116.66511315,0.12
래미안도봉,삼환도봉,265.1296306,0.27
래미안라센트,선경(127),154.21728655,0.15
래미안마포리버웰,마포용강삼성래미안,126.0212338,0.13
래미안밤섬리베뉴Ⅰ,상수두산위브,104.95034664,0.10
래미안밤섬리베뉴Ⅱ,래미안밤섬리베뉴Ⅰ,156.76996932,0.16
래미안방배아트힐(1008-2),방배현대빌라트(999-2),122.35384474,0.12
래미안방배에버뉴,현대멤피스,127.1941511,0.13
래미안삼성1차(103-22),래미안삼성1차(201동),60.595905,0.06
래미안삼성1차(105-0),레미안삼성1차(101동),60.95771962,0.06
래미안삼성1차(201동),래미안삼성1차(103-22),60.595905,0.06
래미안삼성2차,서광아파트,115.03856471,0.12
래미안상도3차,정호힐사이드,148.82196155,0.15
래미안서초3차,마샹스(2차),44.83285045,0.04
래미안서초4차,서초코아,84.81813504,0.08
래미안서초5차,동아빌리지,53.35746962,0.05
래미안서초7차,현대빌리지,59.99928661,0.06
래미안서초스위트,산호아파트,255.37799354,0.26
래미안서초유니빌,서초쌍용플래티넘,78.65115289,0.08
래미안세레니티,래미안크리시엘,208.95230709,0.21
래미안송파파인탑,가락삼익맨숀,169.02603486,0.17
래미안수유,수유현대,74.84783587,0.07
래미안신반포팰리스,신화,133.15049922,0.13
래미안신사,신사아이빌(522),73.79055489,0.07
래미안아름숲,전농동하우스토리,474.1098943,0.47
래미안엘파인아파트,우성그린,119.74706065,0.12
래미안영등포프레비뉴,신길레전드힐스,92.43189406,0.09
래미안월곡,꿈의숲푸르지오,190.73215494,0.19
래미안웰스트림,밤섬예가클래식,122.8749921,0.12
래미안위브,답십리대우,167.13020534,0.17
래미안이문2차,효자워너빌,402.42708251,0.40
래미안장안,현대리노빌102동,161.11306864,0.16
래미안장안2차,정은101동(332-2),167.25969291,0.17
래미안청담로이뷰,마크힐스이스트윙,69.4863836,0.07
래미안첼리투스,점보,149.32219647,0.15
래미안크레시티,한신휴플러스그린파크,268.7827367,0.27
래미안크리시엘,아이파크종암동1차,173.6166884,0.17
래미안트리베라1단지,길음뉴타운4단지(e편한세상),228.81026354,0.23
래미안트윈파크,유원강변,103.49427134,0.10
래미안파크팰리스,대련,164.42232974,0.16
래미안퍼스티지,한신3차,223.00694381,0.22
래미안펜타빌,역삼IPARK,204.34953543,0.20
래미안포레,강남한양수자인(4단지),220.59823399,0.22
래미안하이리버,금호자이1차,252.08827988,0.25
래미안하이베르,왕십리풍림아이원,347.05172415,0.35
래미안힐스테이트고덕,롯데캐슬퍼스트,440.73788213,0.44
럭스빌(101동),럭스빌(102동),17.21211232,0.02
럭스빌(102동),자선메르시안(103),16.83971598,0.02
럭키,대림역경남아너스빌,171.15011288,0.17
럭키(462),우성사원5,117.36055831,0.12
럭키(963),현대그린1,168.85511337,0.17
럭키남서울아파트,스카이,129.27894104,0.13
레미안삼성1차(101동),삼성풍림2차아파트,57.87613657,0.06
레미안서초6차(1520-9),서초에스케이뷰,57.87054489,0.06
레미앙,은일로즈힐,42.29857865,0.04
레미테지,시범,85.32866282,0.09
레베빌,비엥에뜨르,74.67079014,0.07
레베빌(798-1),월드빌라트(798-5),36.82560512,0.04
레베빌2,베로니스2차,56.8228843,0.06
레이크시티,엘에스타워,62.11349121,0.06
레이크팰리스,갤러리아팰리스,206.22357581,0.21
레이크해모로,대우레이크월드,57.56054629,0.06
렉스팰리스,대아파크빌,314.00021164,0.31
로데오현대,압구정대원칸타빌아파트,54.43110885,0.05
로데오휘버스빌,예지팰리스50차,104.20430587,0.10
로뎀,다성시티아파트,176.94016796,0.18
로마,효림다온,105.82443207,0.11
로마아트빌,신트리1,348.60761977,0.35
로미아트빌,양지빌라트,20.2722661,0.02
로얄,청원다미소,242.42539375,0.24
로얄동아,기산빌라트,78.99324923,0.08
로얄맨숀,한강맨숀,91.66258654,0.09
로얄빌리지,역삼우성,306.75657527,0.31
로얄카운티-2,현대아트빌,199.69598858,0.20
로얄클래스,은선,87.78468432,0.09
로얄튼빌라,리버티하우스,159.37685559,0.16
로얄패밀리아파트B동,로얄훼미리아파트A동,19.21437229,0.02
로얄팰리스,역삼우성,65.63359807,0.07
로얄하이츠,새티스2,26.04709749,0.03
로얄홈타운(103동),남광쉐르빌(923-10),52.85075739,0.05
로얄훼미리,늘푸른5차,25.16522146,0.03
로얄훼미리아파트A동,로얄패밀리아파트B동,19.21437229,0.02
로쟌뷰,석촌호수효성해링턴타워,237.51247789,0.24
로제리움2차,순영웰라이빌2차,46.38529075,0.05
로즈빌,보미리아파트,56.20936172,0.06
로즈빌A,신공덕래미안2차,182.58837841,0.18
로즈힐파크(A동),로즈힐파크(B동),19.43820719,0.02
로즈힐파크(B동),로즈힐파크(A동),19.43820719,0.02
로체샤르캐슬,우민,84.76260851,0.08
로하스,진흥,80.20953177,0.08
롯데,브라운스톤금호,136.42200715,0.14
롯데(505),상아,0,0.00
롯데1차,우장산태승훼미리,60.52236144,0.06
롯데2,타워힐101동,68.17729292,0.07
롯데관악타워,보라매나산스위트,65.52246698,0.07
롯데낙천대,르트랑시망,134.50100254,0.13
롯데미도파광화문빌딩,세종,67.77292885,0.07
롯데빌라트2차,신원아침도시,40.76546209,0.04
롯데우성,주공8,227.8202297,0.23
롯데캐슬,신도신월1차,93.34241527,0.09
롯데캐슬(1057-0),타워빌,76.72747995,0.08
롯데캐슬(1057-1),성우,48.2624323,0.05
롯데캐슬갤럭시,롯데캐슬갤럭시(50-1),134.21237494,0.13
롯데캐슬갤럭시(50-1),훼미리,114.93988524,0.11
롯데캐슬골드,한빛웰리스,143.55562656,0.14
롯데캐슬노블,역삼르비앙1,70.23165669,0.07
롯데캐슬로잔,롯데낙천대,178.26652832,0.18
롯데캐슬루나,주공1단지,312.23551773,0.31
롯데캐슬리베,대치아이파크,141.23409179,0.14
롯데캐슬메디치,서초아크빌,179.93433257,0.18
롯데캐슬모닝,도곡3차아이파크,106.4848809,0.11
롯데캐슬비엔,약수맨션,195.73592139,0.20
롯데캐슬스파,현대임페리움,99.34967141,0.10
롯데캐슬아르떼,세양아르비채102동,137.93870757,0.14
롯데캐슬아이비,대교,276.79224292,0.28
롯데캐슬엠파이어,여의도자이,231.47481259,0.23
롯데캐슬위너,행복자,102.04694631,0.10
롯데캐슬쥬피터,서초동현대리츠빌,67.45260565,0.07
롯데캐슬천지인,삼전솔하임2차,167.56808598,0.17
롯데캐슬클래식,서초두산위브트레지움,161.81896054,0.16
롯데캐슬파크,서울숲금강아미움,342.52653408,0.34
롯데캐슬파크(34),방배자이,64.47052739,0.06
롯데캐슬퍼스트,우성101동,427.31799797,0.43
롯데캐슬포레스트,상지리츠빌4차(843-13),44.29746035,0.04
롯데캐슬프레미어,삼성벨라스빌,140.31887519,0.14
롯데캐슬프레지던트,공덕1삼성래미안,216.27479093,0.22
롯데캐슬피렌체,래미안 허브리츠,205.69598449,0.21
롯데캐슬헤론,방배아크로리버,95.52441402,0.10
루이스캐슬,파라다이스(477-7),49.52941879,0.05
르가든5차,나인빌,50.28263016,0.05
르네상스빌,가락스타클래스,79.53404268,0.08
르메이르강남타운1,현대이즈빌,63.50204823,0.06
르메이에르,오림센트빌,115.62800141,0.12
르메이에르1차(344-1),선일크라시아,32.49382313,0.03
르메이에르7차(313-8),신부파스카(313-7),47.32705591,0.05
르메이에르장안타운3차,르메이에르장안타운II(342-11),60.79119999,0.06
르메이에르장안타운II(342-11),르메이에르장안타운3차,60.79119999,0.06
르미에르장안타운5차,월튼파크뷰(342-21),70.14974636,0.07
르트랑시망,롯데낙천대,134.50100254,0.13
리더스빌,논현동프라임,28.10708164,0.03
리더스파크,센타폴리스,96.64823834,0.10
리버뷰,LG한강자이,77.93757469,0.08
리버뷰신안인스빌1단지,문래동삼환,93.64850889,0.09
리버뷰신안인스빌2단지,문래동삼환,90.5461571,0.09
리버빌(삼성),신동아1,195.13795556,0.20
리버스타운,백운,51.91757924,0.05
리버아인,한국프라우드,43.24847977,0.04
리버타워,라이프콤비,54.73486218,0.05
리버탑,한남동동원베네스트,87.65292069,0.09
리버티하우스,성아1,70.35162279,0.07
리버펠리스1동,이너스내안에,72.14043524,0.07
리버하이츠,효원빌라트,125.80865962,0.13
리버하임아파트,씨티극동1,197.56183339,0.20
리버힐삼성,한강타운,90.15142736,0.09
리버힐에이동,한강빌라,333.55517371,0.33
리베르떼-빌(LibertVille),백광,296.14120901,0.30
리베하임,월든힐스,24.01739997,0.02
리센츠,트리지움,396.25754105,0.40
리안펠리체,영등포메이준2011,56.94732375,0.06
리첸시아,라이프콤비,72.65475801,0.07
리첸시아방배,방배아크로리버,117.04982702,0.12
리첸시아용산A,리첸시아용산B,68.56209129,0.07
리첸시아용산B,리첸시아용산A,68.56209129,0.07
리츠,대우미래사랑,252.44378965,0.25
리츠빌아파트,도곡1차아이파크,166.09522159,0.17
리치,장안삼성쉐르빌,74.91165332,0.07
리치빌(177-2),방이동그린파크,111.784972,0.11
리치안풍산,온수동,87.02833982,0.09
리치카운티,미래한건아파트101동,238.00114587,0.24
리치타운,초원탑스빌,26.05727423,0.03
리치타워,논현동한화꿈에그린,158.05307245,0.16
리치팰리스,벨루체팰리스,36.33451926,0.04
리치힐(1052-5),세진(1037-31),280.34273696,0.28
리치힐103동(992-0),리치힐104동(992-43),25.86971249,0.03
리치힐104동(992-43),리치힐103동(992-0),25.86971249,0.03
린든빌(29-26),회림,188.82563293,0.19
림괄,상우,107.25320933,0.11
마고정3단지센트레빌(301~309동)BL2-11,마고정3단지센트레빌(310~322동)BL2-3,163.79742125,0.16
마고정3단지센트레빌(310~322동)BL2-3,마고정3단지센트레빌(301~309동)BL2-11,163.79742125,0.16
마고정3단지센트레빌(323~335동)BL2-2,우물골2단지두산위브(201~203동)BL2-4,138.30431936,0.14
마곡금호어울림,디아이빌101동,348.59274752,0.35
마곡드림힐,강서센트레빌3차(894-0),119.92765192,0.12
마곡서광(치현마을),삼도,194.6576456,0.19
마곡수명산파크1단지,태승훼미리2,178.92350447,0.18
마곡수명산파크2단지,마곡수명산파크1단지,244.75623367,0.24
마곡수명산파크3단지,마곡수명산파크5단지,211.57218408,0.21
마곡수명산파크4단지,마곡수명산파크3단지,223.49528841,0.22
마곡수명산파크5단지,마곡수명산파크3단지,211.57218408,0.21
마곡수명산파크6단지,마곡수명산파크5단지,215.10830635,0.22
마곡수명산파크7단지,마곡수명산파크4단지,347.18043009,0.35
마곡엠밸리10단지,마곡엠밸리11단지,161.05889246,0.16
마곡엠밸리11단지,마곡엠밸리10단지,161.05889246,0.16
마곡엠밸리12단지,마곡엠밸리11단지,169.31257456,0.17
마곡엠밸리1단지,마곡엠밸리3단지,135.86904154,0.14
마곡엠밸리2단지,마곡엠밸리3단지,147.4027899,0.15
마곡엠밸리3단지,마곡엠밸리1단지,135.86904154,0.14
마곡엠밸리4단지,신안,124.86038427,0.12
마곡엠밸리5단지,세왕,226.72126257,0.23
마곡엠밸리6단지,마곡엠밸리8단지,170.42671679,0.17
마곡엠밸리7단지,마곡엠밸리6단지,260.45497029,0.26
마곡엠밸리8단지,마곡엠밸리6단지,170.42671679,0.17
마곡엠벨리(14단지),마곡엠밸리12단지,277.78864187,0.28
마곡엠벨리(15단지),마곡수명산파크2단지,252.99108568,0.25
마곡우림1차아파트,강서센트레빌3차,101.98280457,0.10
마곡중앙하이츠아파트,방화동2차태승훼미리,138.28537416,0.14
마로니에,동원,69.52274088,0.07
마샹스(2차),래미안서초3차,44.83285045,0.04
마에스트로캠퍼스타운,프라비다M,35.45885969,0.04
마이스터빌,상지리츠빌장충동카일룸,239.05456837,0.24
마이유,자선메르시안(119-15),39.5240595,0.04
마이홈,정은SKY빌,80.45760702,0.08
마일스디오빌,프라임,300.17217787,0.30
마장동중앙하이츠,신명스카이뷰,79.60809182,0.08
마장동해맑은아파트,왕십리금호어울림,144.59059931,0.14
마젤란,센츄리,160.39878618,0.16
마젤란21,신영,226.20382142,0.23
마천금호어울림1차아파트,뉴타운,80.73509195,0.08
마천대성,삼익1,52.36825537,0.05
마천동금호타운1,현대그린빌,214.83328583,0.21
마체스터,유원하나,238.9553804,0.24
마크힐스웨스트윙,마크힐스이스트윙,28.4145038,0.03
마크힐스이스트윙,마크힐스웨스트윙,28.4145038,0.03
마포경남아너스빌,(91-511),105.26646915,0.11
마포공덕파크팰리스Ⅱ,공덕3삼성래미안,109.7695905,0.11
마포대림1,한강삼성,85.71879708,0.09
마포동원베네스트,도화현대,134.47937154,0.13
마포래미안푸르지오1단지,마포래미안푸르지오2단지,0,0.00
마포래미안푸르지오1단지,마포래미안푸르지오3단지,0,0.00
마포래미안푸르지오1단지,마포래미안푸르지오4단지,0,0.00
마포래미안푸르지오2단지,마포래미안푸르지오3단지,0,0.00
마포래미안푸르지오2단지,마포래미안푸르지오1단지,0,0.00
마포래미안푸르지오2단지,마포래미안푸르지오4단지,0,0.00
마포래미안푸르지오3단지,마포래미안푸르지오2단지,0,0.00
마포래미안푸르지오3단지,마포래미안푸르지오1단지,0,0.00
마포래미안푸르지오3단지,마포래미안푸르지오4단지,0,0.00
마포래미안푸르지오4단지,마포래미안푸르지오3단지,0,0.00
마포래미안푸르지오4단지,마포래미안푸르지오2단지,0,0.00
마포래미안푸르지오4단지,마포래미안푸르지오1단지,0,0.00
마포쌍용황금아파트,비체힐리버뷰,94.60366116,0.09
마포아크로타워,마포트라팰리스,155.01897609,0.16
마포용강삼성래미안,래미안마포리버웰,126.0212338,0.13
마포자이,염리동세양청마루아파트101동,117.01222098,0.12
마포자이2차,하나테크노빌,170.31448974,0.17
마포중동현대,수풍,68.55832117,0.07
마포트라팰리스,성지,83.99627042,0.08
마포트라팰리스2차,혜성,59.97217223,0.06
마포한강2차푸르지오,두레,75.12966384,0.08
마포한강푸르지오,마포한강2차푸르지오,120.9773178,0.12
마포현대,래미안공덕4차,102.06041769,0.10
만민라이프,태영홈아파트,117.96652695,0.12
만민라이프(A동),만민라이프(B동),27.78379016,0.03
만민라이프(B동),만민라이프(A동),27.78379016,0.03
만민하늘愛,아이안,55.76555342,0.06
만민하늘애2차,조이팰리스(90-23),90.84363758,0.09
망우,성도아트빌,31.97891365,0.03
망원동동원데쟈뷰,광남캐스빌D,60.56026984,0.06
매그놀리아(1차),쌍용스윗닷홈(301동),69.84183552,0.07
매봉삼성,포스코트,172.82796977,0.17
매원아파트,e-푸른가동,17.02329575,0.02
메가스터디타워,쌍용예가,353.48784879,0.35
메세나폴리스,마포한강푸르지오,162.20678749,0.16
메이(124-12),ThePlusⅢ,23.07514025,0.02
메이저,한솔애리즈501동,123.75057782,0.12
메이저(474-21),삼화그린,114.55737371,0.11
메이플라워,한신그린,74.22455415,0.07
메카,라이프시티,126.66234064,0.13
메트로,풍림아이원아파트,161.59291358,0.16
메트로IV,미소로,30.17552277,0.03
메트로럭스,조이팰리스(90-23),79.41378462,0.08
메트로아파트,다성이즈빌아파트(388-4),41.82094218,0.04
멤버스카운티601,방배대우멤버스카운티502,22.77341651,0.02
면목동2차미소지움아파트,온세솔내움,96.52133699,0.10
면목동금호어울림아파트,면목삼호101,114.2159303,0.11
면목삼익아파트,동일,130.66368797,0.13
면목삼호101,면목동금호어울림아파트,114.2159303,0.11
면목한신,일신강변,101.63401652,0.10
명가,베벌리힐즈,43.58359171,0.04
명경아트빌,신신(1차),32.00858001,0.03
명남(122-10),예청B,25.90060218,0.03
명남(23-45),(23-42),42.09676485,0.04
명남뉴,청운퀸즈,14.65417025,0.01
명남뉴(32-3),건우샹그리라,95.43995314,0.10
명남뉴타운,태양아파트,113.81706895,0.11
명남더블레스,모아(365-35),150.8141991,0.15
명남더블레스(39-19),명남더블레스(39-4),13.63327255,0.01
명남더블레스(39-4),명남더블레스(39-19),13.63327255,0.01
명남래희안(122-4),우리스페이스(113-28),25.52663551,0.03
명남아띠팰리스,힐튼빌리지1차,26.39260776,0.03
명남아파트,한성산장,61.73381678,0.06
명남태봉,DMC문영퀸즈파크아파트,116.52980213,0.12
명덕,우장산월드메르디앙,187.51043006,0.19
명륜동주상복합아남아파트,아남1,75.88886612,0.08
명산그린빌,세아쎄닛빌,37.71057325,0.04
명성,대영(2동),193.07969604,0.19
명수대한양,흑석한강센트레빌,143.26921341,0.14
명수대현대,흑석한강센트레빌,274.23877173,0.27
명인갤러리,명인갤러리2차,96.7760469,0.10
명인갤러리2차,세방하이빌1,61.03006139,0.06
명일동다성이즈빌아파트,삼보힐아파트,66.498211,0.07
명일우성,삼익그린11차,148.60194285,0.15
명일지에스아파트,중앙,105.83296104,0.11
명일진로,동양타워,144.6986282,0.14
명주캐슬(61-9),토석아네스아파트,242.09891466,0.24
명지플러스빌아파트(B),백련미라보,180.50161346,0.18
명지해드는터,에이스,126.11788519,0.13
명진,동도하이츠에이동,183.25037714,0.18
명진(200-115),성현,36.66804937,0.04
명진(348-7),선정(348-12),80.21516392,0.08
명진에버그린,그린씨티,56.16605064,0.06
모닝아트빌,방배브라운가,181.89409576,0.18
모델리안1,예승,32.33738779,0.03
모아(365-35),자선메르시안(400),129.503896,0.13
목4현대,월드메르디앙2,44.43835846,0.04
목동2삼성래미안,목동우성3,334.00264316,0.33
목동2차아이파크,강산빌라트,69.23848053,0.07
목동가든스위트,벽산미라지타워,75.74777862,0.08
목동글로리파크,성보,32.42117438,0.03
목동금호베스트빌,대원,212.39495359,0.21
목동길성그랑프리텔,목동보미리즌빌,37.68811384,0.04
목동노블레스,신목,56.71479425,0.06
목동다솔,두란,80.51885472,0.08
목동대림,동해아파트,149.63051813,0.15
목동동보,보성주상복합,58.02671421,0.06
목동동화옥시죤-7,목4현대,73.66946737,0.07
목동두산위브,CG아름채목동아파트,102.25903113,0.10
목동리버힐,효원빌라트,231.39557135,0.23
목동무지개,미광,51.04380716,0.05
목동미소래,목화,58.68066807,0.06
목동보미리즌빌,목동길성그랑프리텔,37.68811384,0.04
목동삼성,신정동경남아너스빌2차,447.92442364,0.45
목동삼성쉐르빌Ⅱ,길훈로즈빌,122.42299833,0.12
목동성삼하이츠,목동성원(926-8),58.03798255,0.06
목동성원,신목,62.28463946,0.06
목동성원(926-8),목동성삼하이츠,58.03798255,0.06
목동성원초원,월드메르디앙2,53.95017358,0.05
목동센트럴푸르지오,월드메르디앙3,186.73180854,0.19
목동신세계아파트,파인빌,106.50844533,0.11
목동신시가지1,목동청구한신아파트,290.23904913,0.29
목동신시가지10,동문굿모닝탑,318.68564788,0.32
목동신시가지11,목동신시가지12,264.17451208,0.26
목동신시가지12,동문굿모닝탑,226.50026748,0.23
목동신시가지13,목동신시가지12,365.3592107,0.37
목동신시가지14,신정동경남아너스빌2차,189.62536836,0.19
목동신시가지2,목동가든스위트,286.99941602,0.29
목동신시가지3,목동신시가지4,294.92680295,0.29
목동신시가지4,목동글로리파크,257.44124853,0.26
목동신시가지5,목동신시가지6,248.46997016,0.25
목동신시가지6,목동신시가지5,248.46997016,0.25
목동신시가지7,대원칸타빌3,246.88202069,0.25
목동신시가지8,목동삼성쉐르빌Ⅱ,246.44027585,0.25
목동신시가지9,태화상가빌라트,248.99157235,0.25
목동우성2,목동우성3,103.15249759,0.10
목동우성3,세양청마루2차주상복합,96.75260056,0.10
목동이-편한세상,목동성원초원,86.17399158,0.09
목동진흥,목동효성,34.63938606,0.03
목동청구한신아파트,리버하이츠,285.67195909,0.29
목동캐슬아파트,신정동경남아너스빌2차,197.7750586,0.20
목동태진드림피아,목4현대,50.76238131,0.05
목동트윈빌,목동신시가지3,418.81888297,0.42
목동해오름102동,목동해오름103동,28.26450138,0.03
목동해오름103동,목동해오름102동,28.26450138,0.03
목동현대1,진도2,103.08662453,0.10
목동현대3차,목동신세계아파트,152.06294599,0.15
목동효성,목동진흥,34.63938606,0.03
목동훼미리,삼도2,13.75243516,0.01
목동휘버스,목동동보,122.66781774,0.12
목동힐스테이트,성재세인트,207.82019612,0.21
목련타운,까치마을,207.49564837,0.21
목화,왕자상가아파트,25.04878975,0.03
목화101,목화102,52.27216936,0.05
목화102,목화101,52.27216936,0.05
목화수목원102동,목화수목원아파트101동,27.6343351,0.03
목화수목원아파트101동,목화수목원102동,27.6343351,0.03
몬드리안,삼화아크빌(470-2),48.05920781,0.05
몬테피오레,미소가,108.15122391,0.11
무궁화,만민라이프(A동),118.97104945,0.12
무림,신대림자이1단지,141.50195707,0.14
무악다온채,인왕산아이파크,104.1278751,0.10
무악재한화,청구2차,190.17877781,0.19
무지개아파트(308-86),타워,38.05015003,0.04
무지개에이,휴먼,153.05827081,0.15
무학,대경,35.45143138,0.04
무학현대,한신무학,137.55149046,0.14
묵동자이(1단지),위더스빌,74.8394471,0.07
묵동자이(2단지),월등스카이뷰,58.46499277,0.06
묵동포레시타,세원,105.97634262,0.11
묵정,충무,57.21434517,0.06
문국,낙원연립재건축조합아파트,72.98611618,0.07
문래건영,문래공원한신,102.11482268,0.10
문래공원한신,문래동원데자뷰,94.3229146,0.09
문래금호어울림,태영데시앙,59.156769,0.06
문래대림,미주프라자,154.42568865,0.15
문래동삼환,리버뷰신안인스빌2단지,90.5461571,0.09
문래동원데자뷰,문래공원한신,94.3229146,0.09
문래두산위브,진주맨션,97.07115247,0.10
문래미원,문래베어스타운,132.86678372,0.13
문래베어스타운,문래미원,132.86678372,0.13
문래우정,국화맨션,90.35193395,0.09
문래자이,문래금호어울림,333.57786271,0.33
문래해태,영등포그랑그루,217.34757996,0.22
문래현대5차,현대6차,108.18759227,0.11
문래힐스테이트,문래건영,141.12911819,0.14
문성,청호센트레빌,33.35788639,0.03
문수해오름,공감대,47.44219802,0.05
문영마운틴(167-2),태광,100.40428002,0.10
문영센스빌,우민B,60.43372908,0.06
문영칸타빌레,구로현대,173.85189968,0.17
문정가락현대1차,성해,151.67273121,0.15
문정그린,문정대우푸르지오3차,85.75107116,0.09
문정대우푸르지오1차,문정대우푸르지오2차,72.23038982,0.07
문정대우푸르지오2차,문정대우푸르지오1차,72.23038982,0.07
문정대우푸르지오3차,인택,65.25485118,0.07
문정동아,문정대우푸르지오1차,91.998977,0.09
문정래미안,가락현대투웰브(102동),213.44133193,0.21
문정시영,광남캐스빌(C동),173.69234349,0.17
문화1,장인이즈빌,43.63155818,0.04
문화촌현대,인왕산벽산,93.16385381,0.09
미광,목동무지개,51.04380716,0.05
미그린,선정(178),56.36074967,0.06
미도,상계주공1(고층),185.13646978,0.19
미도,상계주공1(저층),185.13646978,0.19
미도맨션3차,선경3차,79.29935902,0.08
미도빌라B동,(792-78),10.98206778,0.01
미동,피어리스,95.69211673,0.10
미라보,기용,272.53131225,0.27
미라보(성림),범하세라믹,320.49684745,0.32
미래,새진(1653-10),27.96569264,0.03
미래타워,우성에비뉴,146.33036226,0.15
미래하이츠,효성,121.17939506,0.12
미래하임,나이스홈,11.80532342,0.01
미래하임(6-19),정익제이원,15.02416636,0.02
미래하임(9-46),대일아이안(9-25),21.43015711,0.02
미래하임(아파트),예성그린,39.28546244,0.04
미래한건(1563-78),신림동부센트레빌,134.39406385,0.13
미래한건아파트101동,IS아파트,131.64903865,0.13
미랜드,청우참조은,57.26166522,0.06
미랜드퀸,토성현대,107.74708129,0.11
미랜드퀸아파트101동,주풍그린빌라트,64.62946771,0.06
미랜드프래임빌(102동),아뜨리즈,37.36174089,0.04
미륭,삼호3,0,0.00
미륭,미성,0,0.00
미르라이프,신세계드림빌1,103.35969623,0.10
