apartment_name,school_name,distance_meters,distance_km
동일상가,오디세이학교,212.89726789,0.21
동일스위트리버,휘봉고등학교,117.25281402,0.12
동일스위트리버2차,서울디지털콘텐츠고등학교,308.24043263,0.31
동일스카이,서울정릉초등학교,218.38366047,0.22
동일스카이시티101동,상봉중학교,67.46570267,0.07
동일스카이시티2차,서울홍릉초등학교,48.34334875,0.05
동일스카이시티3차,서울홍릉초등학교,71.65567484,0.07
동일씨티빌,서울창경초등학교,313.18077077,0.31
동일아파트,방학중학교,521.18929204,0.52
동일파크스위트,봉은중학교,425.38768551,0.43
동일하이빌,서초고등학교,343.97401836,0.34
동일하이빌1단지,서울지향초등학교,214.08283226,0.21
동일하이빌2단지,금옥중학교,334.65600005,0.33
동일하이빌2단지,금옥여자고등학교,334.65600005,0.33
동일하이빌뉴시티,서울도시과학기술고등학교,355.43505048,0.36
동자,서울삼광초등학교,397.22697474,0.40
동작상떼빌,서울영림초등학교,383.47562194,0.38
동진,서울숭례초등학교,98.27014262,0.10
동진노블클래스,서울면남초등학교,228.03910689,0.23
동진신안,불암고등학교,175.10729577,0.18
동평화패션타운,서울광희초등학교,283.22721612,0.28
동해아파트,서울목동초등학교,192.90865039,0.19
동현아파트1~6,언북중학교,272.78134854,0.27
동호그린,서울신강초등학교,596.64338148,0.60
동호리츠빌,둔촌고등학교,180.45356764,0.18
동호스카이,서울녹번초등학교,391.20494834,0.39
동화,서울구로남초등학교,167.32902541,0.17
동훈노보빌,서울대방초등학교,376.94088027,0.38
동훈타마르(921-18),서울신강초등학교,478.29140683,0.48
두란,대일고등학교,192.14531671,0.19
두레,서울성산초등학교,290.65582094,0.29
두리,서울용마초등학교,61.88737371,0.06
두리파크빌,서울삼광초등학교,283.78871888,0.28
두보아파트,등촌중학교,182.58199321,0.18
두산,서울창신초등학교,221.29060662,0.22
두산1,서울면동초등학교,438.49156092,0.44
두산2,서울면남초등학교,515.04393927,0.52
두산3,서울면남초등학교,491.53576014,0.49
두산4,서울중곡초등학교,454.00111613,0.45
두산6,서울중곡초등학교,386.98885827,0.39
두산베어스타워,성일중학교,390.0782337,0.39
두산위브,영원중학교,58.21650024,0.06
두산위브(1362),서초문화예술정보학교,315.4682713,0.32
두산위브1단지,서울학동초등학교,176.55580796,0.18
두산위브2단지,서울학동초등학교,108.77765513,0.11
두산위브센티움,광성하늘빛학교,477.44693649,0.48
두산위브트레지움,용산철도고등학교,280.7689098,0.28
두산위브트레지움2차,장승중학교,189.88587489,0.19
두산힐스빌아파트,공릉중학교,346.50990794,0.35
두성,서울역촌초등학교,471.67180969,0.47
두성아파트,은평대영학교,107.30048557,0.11
두양그린A동,서울정진학교,545.45593822,0.55
두영,서울학동초등학교,623.75570188,0.62
두영이지안,서울성산초등학교,530.4184883,0.53
두영이지안101동,성산중학교,256.59963369,0.26
두예파크빌,창문여자고등학교,297.35542863,0.30
두예파크빌,창문여자중학교,297.35542863,0.30
두원,서울중곡초등학교,360.87132956,0.36
두원빌드피아(444-7),서울강서초등학교,130.36602256,0.13
두원빌드피아(510-3),서울강서초등학교,307.48089225,0.31
두원프라자,서울화계초등학교,271.07843655,0.27
두일,선정고등학교,338.59735772,0.34
두일,선정중학교,338.59735772,0.34
두일,선정국제관광고등학교,338.59735772,0.34
두진아이브(305-22),동명여자고등학교,376.85462575,0.38
두진아이브(305-22),동명생활경영고등학교,376.85462575,0.38
두진한아름,서울서이초등학교,315.53751661,0.32
둔촌늘푸른,둔촌고등학교,254.12144765,0.25
둔촌역아치스톤(101동),서울둔촌초등학교,469.69263578,0.47
둔촌역청구,성내중학교,359.02244775,0.36
둔촌주공1단지,서울둔촌초등학교,149.43059569,0.15
둔촌주공2단지,보성고등학교,183.11181014,0.18
둔촌주공2단지,보성중학교,183.11181014,0.18
둔촌주공3단지,보성고등학교,183.11181014,0.18
둔촌주공3단지,보성중학교,183.11181014,0.18
둔촌주공4단지,서울둔촌초등학교,149.43059569,0.15
둔촌푸르지오,둔촌중학교,367.64322723,0.37
둔촌하이츠,서울한산초등학교,149.00828796,0.15
드리밍아파트,연북중학교,309.66085878,0.31
드림,서울무학초등학교,118.50369246,0.12
드림리버빌,당산중학교,104.36193171,0.10
드림스빌,서울성일초등학교,293.02920006,0.29
드림시드,서울영동초등학교,156.61247576,0.16
드림캐슬2차,세일중학교,393.43000338,0.39
드림캐시아1,서울은명초등학교,148.51741611,0.15
드림캐시아2,신진과학기술고등학교,179.56303718,0.18
드림팰리스,방배중학교,297.43054875,0.30
드림팰리스103동,코리아외국인학교,308.10804873,0.31
"등촌1,2단지주공아파트",서울등양초등학교,205.85548943,0.21
등촌5차보람쉬움,서울염창초등학교,143.15707526,0.14
등촌6차보람,서울백석초등학교,59.84913228,0.06
"등촌7,8단지주공아파트",등원중학교,119.29448092,0.12
등촌동보람쉬움아파트,등촌중학교,463.74793633,0.46
등촌동아이파크,서울등마초등학교,254.28408859,0.25
등촌동현대2차,경복비즈니스고등학교,337.13085598,0.34
등촌라인(조합),경서중학교,261.65959214,0.26
디아이빌101동,서울양천초등학교,186.17868574,0.19
디아이빌102동,양천중학교,478.29868279,0.48
디안(89-77),서울대조초등학교,506.96327071,0.51
디오반,증산중학교,324.68052547,0.32
디오수페리움2,서문여자중학교,362.25549341,0.36
디오수페리움2,서문여자고등학교,362.25549341,0.36
디케이,서울역촌초등학교,510.06215458,0.51
디큐브시티,서울미래초등학교,392.74066721,0.39
뚝섬현대,경일고등학교,447.02148881,0.45
뚝섬현대,경일중학교,447.02148881,0.45
라메즈아파트,서울공릉초등학교,332.01115105,0.33
라빌레뜨,방배중학교,417.10015858,0.42
라온유,서울숭덕초등학교,442.87994706,0.44
라온채,서울서래초등학교,233.99837424,0.23
라움(492-45),서울강동초등학교,448.85411197,0.45
라움아파트,서울사당초등학교,429.63124062,0.43
라이즈1동,학력인정 신동신중학교(2년제),99.35184757,0.10
라이즈1동,학력인정 신동신중.정보산업고등학교,99.35184757,0.10
라이즈1동,학력인정 신동신정보산업고등학교(2년제),99.35184757,0.10
라이즈2동,학력인정 신동신중학교(2년제),75.7948915,0.08
라이즈2동,학력인정 신동신정보산업고등학교(2년제),75.7948915,0.08
라이즈2동,학력인정 신동신중.정보산업고등학교,75.7948915,0.08
라이프,서울안천초등학교,429.18153777,0.43
라이프101동(544)102동(544-1),한산중학교,96.93415861,0.10
라이프미성,서울신내초등학교,257.94866891,0.26
라이프시티,대성고등학교,58.51558326,0.06
라이프시티,대성중학교,58.51558326,0.06
라이프씨티,덕산중학교,69.93137172,0.07
라이프콤비,서울여의도초등학교,505.55357833,0.51
라이헤스빌,언북중학교,464.8773144,0.46
라인,서울길동초등학교,317.54237805,0.32
라인성서,홍익대학교사범대학부속여자중학교,139.36526538,0.14
라인성서,홍익대학교사범대학부속초등학교,139.36526538,0.14
라인성서,홍익대학교사범대학부속여자고등학교,139.36526538,0.14
라파예트,서울서래초등학교,327.48063689,0.33
랑쉐빌,서울프랑스학교,116.32240792,0.12
래디앙,서울창서초등학교,419.27426037,0.42
래디앙아파트,서울서정초등학교,161.05450198,0.16
래미안 옥수 리버젠,서울금옥초등학교,357.94072969,0.36
래미안 허브리츠,서울신답초등학교,678.39758172,0.68
래미안강남힐즈,세곡중학교,274.60176899,0.27
래미안공덕4차,한세사이버보안고등학교,173.50936683,0.17
래미안공덕5차,한세사이버보안고등학교,123.99859369,0.12
래미안그레이튼,역삼중학교,75.54376103,0.08
래미안그레이튼(진달래2차),역삼중학교,147.78707662,0.15
래미안남가좌2차,가재울고등학교,381.92131052,0.38
래미안당산1차,당산중학교,293.89059761,0.29
래미안대치팰리스,단국대학교사범대학부속중학교,147.94225082,0.15
래미안대치팰리스,단국대학교부속소프트웨어고등학교,147.94225082,0.15
래미안대치팰리스,단국대학교사범대학부속고등학교,147.94225082,0.15
래미안대치하이스턴,서울대현초등학교,333.26048768,0.33
래미안도곡카운티,역삼중학교,193.68178865,0.19
래미안도봉,북서울중학교,421.838841,0.42
래미안라센트,서울일신초등학교,147.41037828,0.15
래미안마포리버웰,서울염리초등학교,387.79045047,0.39
래미안밤섬리베뉴Ⅰ,서울서강초등학교,237.74749428,0.24
래미안밤섬리베뉴Ⅱ,서울서강초등학교,159.39630835,0.16
래미안방배아트힐(1008-2),상문고등학교,253.86859228,0.25
래미안방배에버뉴,서울서래초등학교,310.58049461,0.31
래미안삼성1차(103-22),봉은중학교,247.75858441,0.25
래미안삼성1차(105-0),봉은중학교,363.91465258,0.36
래미안삼성1차(201동),봉은중학교,303.72735194,0.30
래미안삼성2차,언주중학교,331.75199519,0.33
래미안상도3차,서울상현초등학교,529.45661321,0.53
래미안서초3차,서울신중초등학교,193.38825199,0.19
래미안서초4차,서울신중초등학교,174.81321747,0.17
래미안서초5차,서초중학교,124.49558939,0.12
래미안서초7차,서울교육대학교부설초등학교,234.65745697,0.23
래미안서초스위트,서울원명초등학교,349.08213457,0.35
래미안서초유니빌,서울서일초등학교,464.04281327,0.46
래미안세레니티,서울개운초등학교,429.83326315,0.43
래미안송파파인탑,가락중학교,98.8757282,0.10
래미안수유,강북중학교,616.98419891,0.62
래미안신반포팰리스,신동중학교,234.03415333,0.23
래미안신사,신사중학교,514.8013127,0.51
래미안아름숲,전농중학교,200.22958074,0.20
래미안엘파인아파트,서울배봉초등학교,486.52996727,0.49
래미안영등포프레비뉴,대영고등학교,256.32858878,0.26
래미안월곡,서울숭인초등학교,186.67097147,0.19
래미안웰스트림,서울신석초등학교,245.74303143,0.25
래미안위브,서울전농초등학교,296.46032184,0.30
래미안이문2차,서울청량초등학교,403.86491196,0.40
래미안장안,서울안평초등학교,63.33478722,0.06
래미안장안2차,동국대학교사범대학부속중학교,453.70501261,0.45
래미안장안2차,동국대학교사범대학부속고등학교,453.70501261,0.45
래미안청담로이뷰,서울봉은초등학교,664.49480317,0.66
래미안첼리투스,중경고등학교,388.78513759,0.39
래미안크레시티,동대문중학교,225.63592101,0.23
래미안크리시엘,서울개운초등학교,259.52942584,0.26
래미안트리베라1단지,길음중학교,262.76263737,0.26
래미안트윈파크,서울영본초등학교,363.80741221,0.36
래미안파크팰리스,서울가동초등학교,228.86092713,0.23
래미안퍼스티지,서울잠원초등학교,141.1745859,0.14
래미안펜타빌,서울도성초등학교,159.99426074,0.16
래미안포레,서울율현초등학교,165.82687877,0.17
래미안하이리버,금호고등학교,276.40364696,0.28
래미안하이베르,서울신당초등학교,243.63050315,0.24
래미안힐스테이트고덕,명일중학교,144.78317894,0.14
럭스빌(101동),서울증산초등학교,268.95254128,0.27
럭스빌(102동),서울증산초등학교,276.91123364,0.28
럭키,영서중학교,261.48333372,0.26
럭키(462),대치중학교,189.75996123,0.19
럭키(963),도곡중학교,470.29451269,0.47
럭키남서울아파트,문일고등학교,184.54030596,0.18
럭키남서울아파트,문일중학교,184.54030596,0.18
레미안삼성1차(101동),봉은중학교,305.531154,0.31
레미안서초6차(1520-9),서초중학교,203.28360866,0.20
레미앙,강신중학교,135.4415369,0.14
레미테지,옥정중학교,235.96282962,0.24
레베빌,서울프랑스학교,165.57116202,0.17
레베빌(798-1),방배중학교,216.32033496,0.22
레베빌2,방배중학교,351.32363522,0.35
레이크시티,서울삼전초등학교,491.13004986,0.49
레이크팰리스,서울송전초등학교,88.98153254,0.09
레이크해모로,서울송파초등학교,534.87257848,0.53
렉스팰리스,상명대학교사범대학부속여자중학교,374.8980946,0.37
렉스팰리스,상명대학교사범대학부속여자고등학교,374.8980946,0.37
로데오현대,신구중학교,494.63839415,0.49
로데오휘버스빌,서울양목초등학교,555.36951873,0.56
로뎀,천일중학교,228.82950266,0.23
로마,봉림중학교,415.98042438,0.42
로마아트빌,서울남명초등학교,135.18862179,0.14
로미아트빌,서울이수초등학교,652.83009669,0.65
로얄,장안중학교,110.46785723,0.11
로얄동아,광양고등학교,358.69150355,0.36
로얄맨숀,서울신용산초등학교,97.0088891,0.10
로얄빌리지,서울서초초등학교,895.49115402,0.90
로얄카운티-2,선린중학교,145.51131565,0.15
로얄카운티-2,선린인터넷고등학교,145.51131565,0.15
로얄클래스,서울여자상업고등학교,206.50251582,0.21
로얄클래스,서울문영여자중학교,206.50251582,0.21
로얄클래스,서울문영여자고등학교,206.50251582,0.21
로얄튼빌라,지구촌기독외국인학교,502.83082173,0.50
로얄패밀리아파트B동,경기초등학교,68.50499231,0.07
로얄팰리스,서울서초초등학교,678.25301846,0.68
로얄하이츠,서울신중초등학교,119.30615639,0.12
로얄홈타운(103동),서울신강초등학교,338.54678382,0.34
로얄훼미리,서울미술고등학교,66.88359113,0.07
로얄훼미리아파트A동,경기초등학교,62.28983849,0.06
로쟌뷰,서울송전초등학교,367.7435901,0.37
로제리움2차,구로중학교,126.8294991,0.13
로즈빌,신동중학교,529.83830858,0.53
로즈빌A,서울청파초등학교,334.40027445,0.33
로즈힐파크(A동),서울평화초등학교,68.02843989,0.07
로즈힐파크(B동),서울평화초등학교,75.89367671,0.08
로체샤르캐슬,언북중학교,388.09828469,0.39
로하스,서울홍연초등학교,257.63651174,0.26
롯데,서울금옥초등학교,82.14891666,0.08
롯데(505),중평중학교,201.25186891,0.20
롯데1차,서울내발산초등학교,442.55667281,0.44
롯데2,서울내발산초등학교,583.63592844,0.58
롯데관악타워,서울새롬학교,452.71094429,0.45
롯데낙천대,서울예술고등학교,784.88602729,0.78
롯데미도파광화문빌딩,서울덕수초등학교,263.46957187,0.26
롯데빌라트2차,상문고등학교,322.99603015,0.32
롯데우성,불암중학교,154.72029642,0.15
롯데캐슬,신남중학교,252.97294545,0.25
롯데캐슬(1057-0),서울강서초등학교,128.75713919,0.13
롯데캐슬(1057-1),서울강서초등학교,133.88287448,0.13
롯데캐슬갤럭시,신동중학교,477.94772119,0.48
롯데캐슬갤럭시(50-1),신동중학교,356.53642692,0.36
롯데캐슬골드,잠실중학교,333.18100386,0.33
롯데캐슬노블,서울역삼초등학교,298.69303379,0.30
롯데캐슬로잔,서울예술고등학교,962.99534704,0.96
롯데캐슬루나,서울월계초등학교,182.49805566,0.18
롯데캐슬리베,단국대학교사범대학부속중학교,341.02895335,0.34
롯데캐슬리베,단국대학교사범대학부속고등학교,341.02895335,0.34
롯데캐슬리베,단국대학교부속소프트웨어고등학교,341.02895335,0.34
롯데캐슬메디치,서울교육대학교부설초등학교,124.20039227,0.12
롯데캐슬모닝,은광여자고등학교,258.52715899,0.26
롯데캐슬모닝,은성중학교,258.52715899,0.26
롯데캐슬비엔,국사봉중학교,367.86048382,0.37
롯데캐슬스파,서울서이초등학교,388.61996495,0.39
롯데캐슬아르떼,서울방배초등학교,422.11742961,0.42
롯데캐슬아이비,여의도여자고등학교,411.72680913,0.41
롯데캐슬엠파이어,윤중중학교,246.59140413,0.25
롯데캐슬위너,양동중학교,220.25271981,0.22
롯데캐슬쥬피터,서초문화예술정보학교,160.29447744,0.16
롯데캐슬천지인,종로산업정보학교,167.84593349,0.17
롯데캐슬클래식,서일중학교,227.72297625,0.23
롯데캐슬파크,서울경동초등학교,575.58137181,0.58
롯데캐슬파크(34),서울방일초등학교,181.99232126,0.18
롯데캐슬퍼스트,서울명덕초등학교,181.04428114,0.18
롯데캐슬포레스트,방배중학교,391.54971003,0.39
롯데캐슬프레미어,언주중학교,184.74097756,0.18
롯데캐슬프레지던트,서울디자인고등학교,270.26657046,0.27
롯데캐슬프레지던트,동도중학교,270.26657046,0.27
롯데캐슬피렌체,성일중학교,543.57434755,0.54
롯데캐슬헤론,경문고등학교,430.25216959,0.43
루이스캐슬,서울방현초등학교,263.85017385,0.26
르가든5차,방배중학교,141.79081945,0.14
르네상스빌,오금고등학교,236.75446118,0.24
르메이르강남타운1,서울이수초등학교,528.5055583,0.53
르메이에르,남성중학교,135.41921112,0.14
르메이에르1차(344-1),장평중학교,510.36025043,0.51
르메이에르7차(313-8),동국대학교사범대학부속중학교,206.48957863,0.21
르메이에르7차(313-8),동국대학교사범대학부속고등학교,206.48957863,0.21
르메이에르장안타운3차,장평중학교,527.64407123,0.53
르메이에르장안타운II(342-11),장평중학교,474.27930143,0.47
르미에르장안타운5차,장평중학교,604.95805963,0.60
르트랑시망,서울예술고등학교,785.2192617,0.79
리더스빌,서울논현초등학교,557.43297235,0.56
리더스파크,서울역촌초등학교,283.36118671,0.28
리버뷰,서울신용산초등학교,306.73470855,0.31
리버뷰신안인스빌1단지,신도림중학교,506.77611296,0.51
리버뷰신안인스빌2단지,신도림중학교,561.01426466,0.56
리버빌(삼성),오산중학교,78.78160445,0.08
리버빌(삼성),오산고등학교,78.78160445,0.08
리버스타운,서울두산초등학교,329.21942819,0.33
리버아인,서울성산초등학교,514.59733684,0.51
리버타워,서울여의도초등학교,451.20652168,0.45
리버탑,지구촌기독외국인학교,836.83118143,0.84
리버티하우스,지구촌기독외국인학교,445.306239,0.45
리버펠리스1동,서울염동초등학교,442.97772377,0.44
리버하이츠,서울목원초등학교,152.18107863,0.15
리버하임아파트,광성하늘빛학교,479.61400184,0.48
리버힐삼성,서울원효초등학교,153.72105,0.15
리버힐에이동,한강중학교,309.24490281,0.31
리베르떼-빌(LibertVille),서울연희초등학교,421.70166807,0.42
리베하임,서울은평초등학교,272.12282053,0.27
리센츠,서울잠신초등학교,162.20063226,0.16
리안펠리체,서울영동초등학교,159.09271815,0.16
리첸시아,서울여의도초등학교,565.6686279,0.57
리첸시아방배,서울서래초등학교,405.20541278,0.41
리첸시아용산A,서울남정초등학교,366.90649586,0.37
리첸시아용산B,서울남정초등학교,374.57059834,0.37
리츠,경성고등학교,513.57405094,0.51
리츠,홍익디자인고등학교,513.57405094,0.51
리츠,경성중학교,513.57405094,0.51
리츠빌아파트,도곡중학교,237.52038148,0.24
리치,서울동답초등학교,448.3712712,0.45
리치빌(177-2),방이중학교,337.20489301,0.34
리치안풍산,서울정진학교,431.26319323,0.43
리치카운티,서울면목초등학교,261.67155157,0.26
리치타운,서울우면초등학교,783.9320329,0.78
리치타워,서울논현초등학교,479.76582137,0.48
리치팰리스,서울서래초등학교,520.21414305,0.52
리치힐(1052-5),서울독산초등학교,152.05649937,0.15
리치힐103동(992-0),서울정심초등학교,398.56435236,0.40
리치힐104동(992-43),서울정심초등학교,375.59919731,0.38
린든빌(29-26),서울신사초등학교,425.9668217,0.43
림괄,서울개봉초등학교,500.83511359,0.50
마고정3단지센트레빌(301~309동)BL2-11,서울신도초등학교,301.29195609,0.30
마고정3단지센트레빌(310~322동)BL2-3,서울신도초등학교,164.50814177,0.16
마고정3단지센트레빌(323~335동)BL2-2,서울은진초등학교,266.26006755,0.27
마곡금호어울림,서울양천초등학교,517.81509036,0.52
마곡드림힐,서울백영고등학교,234.83336352,0.23
마곡서광(치현마을),서울정곡초등학교,262.82264505,0.26
마곡수명산파크1단지,명덕여자중학교,337.98698493,0.34
마곡수명산파크1단지,명덕고등학교,337.98698493,0.34
마곡수명산파크1단지,명덕여자고등학교,337.98698493,0.34
마곡수명산파크1단지,명덕외국어고등학교,337.98698493,0.34
마곡수명산파크2단지,서울수명초등학교,368.71895307,0.37
마곡수명산파크3단지,서울수명초등학교,91.4065827,0.09
마곡수명산파크4단지,서울수명초등학교,176.94564365,0.18
마곡수명산파크5단지,서울수명초등학교,294.84324791,0.29
마곡수명산파크6단지,수명고등학교,108.67334705,0.11
마곡수명산파크7단지,수명중학교,128.2413598,0.13
마곡엠밸리10단지,마곡하늬중학교,192.28437457,0.19
마곡엠밸리11단지,마곡하늬중학교,151.09165055,0.15
마곡엠밸리12단지,서울공진초등학교,121.7480824,0.12
마곡엠밸리1단지,서울송화초등학교,50.98012474,0.05
마곡엠밸리2단지,마곡중학교,161.9881408,0.16
마곡엠밸리3단지,마곡중학교,104.68518767,0.10
마곡엠밸리4단지,마곡중학교,319.42663395,0.32
마곡엠밸리5단지,서울송화초등학교,256.43571926,0.26
마곡엠밸리6단지,서울공항초등학교,246.91806111,0.25
마곡엠밸리7단지,서울공항초등학교,268.91698318,0.27
마곡엠밸리8단지,서울공항초등학교,166.40561148,0.17
마곡엠벨리(14단지),서울공진초등학교,194.35554043,0.19
마곡엠벨리(15단지),서울공진초등학교,481.53127848,0.48
마곡우림1차아파트,서울백영고등학교,345.01584691,0.35
마곡중앙하이츠아파트,서울방화초등학교,143.78986925,0.14
마로니에,서울매헌초등학교,526.80110503,0.53
마샹스(2차),서울신중초등학교,235.86655401,0.24
마에스트로캠퍼스타운,서울신봉초등학교,402.69429836,0.40
마이스터빌,서울장충초등학교,257.33793164,0.26
마이유,서울은명초등학교,275.19885041,0.28
마이홈,신남중학교,153.93185335,0.15
마일스디오빌,서울논현초등학교,643.48031877,0.64
마장동중앙하이츠,동마중학교,311.1870433,0.31
마장동해맑은아파트,동마중학교,173.30970245,0.17
마젤란,고척중학교,562.26259333,0.56
마젤란21,서울면동초등학교,239.85756202,0.24
마천금호어울림1차아파트,서울마천초등학교,362.84606465,0.36
마천대성,서울마천초등학교,351.91604756,0.35
마천동금호타운1,서울마천초등학교,97.39136222,0.10
마체스터,서울홍은초등학교,137.80383623,0.14
마크힐스웨스트윙,서울봉은초등학교,719.49599418,0.72
마크힐스이스트윙,서울봉은초등학교,693.28449896,0.69
마포경남아너스빌,광성고등학교,154.77193742,0.15
마포경남아너스빌,광성중학교,154.77193742,0.15
마포공덕파크팰리스Ⅱ,서울공덕초등학교,240.98136961,0.24
마포대림1,서울염리초등학교,471.21690789,0.47
마포동원베네스트,서울마포초등학교,275.26237974,0.28
마포래미안푸르지오1단지,서울아현초등학교,260.90228291,0.26
마포래미안푸르지오2단지,서울아현초등학교,260.90228291,0.26
마포래미안푸르지오3단지,서울아현초등학교,260.90228291,0.26
마포래미안푸르지오4단지,서울아현초등학교,260.90228291,0.26
마포쌍용황금아파트,서울마포초등학교,407.41708137,0.41
마포아크로타워,서울염리초등학교,277.75199629,0.28
마포용강삼성래미안,서울신석초등학교,334.79684578,0.33
마포자이,서울염리초등학교,125.90305283,0.13
마포자이2차,서울용강초등학교,199.36331232,0.20
마포중동현대,서울신북초등학교,183.69574067,0.18
마포트라팰리스,서울염리초등학교,152.23454715,0.15
마포트라팰리스2차,한세사이버보안고등학교,304.16470152,0.30
마포한강2차푸르지오,서울성산초등학교,285.75621214,0.29
마포한강푸르지오,서울성산초등학교,405.94667068,0.41
마포현대,학력인정 일성여자고등학교(2년제),113.51767475,0.11
마포현대,학력인정 일성여자중학교(2년제),113.51767475,0.11
만민라이프,구산중학교,366.17189818,0.37
만민라이프(A동),서울역촌초등학교,432.23278557,0.43
만민라이프(B동),서울역촌초등학교,435.57366141,0.44
만민하늘愛,서울녹번초등학교,409.19227247,0.41
만민하늘애2차,신진과학기술고등학교,244.42520795,0.24
망우,서울망우초등학교,108.6205831,0.11
망원동동원데쟈뷰,서울망원초등학교,109.67924043,0.11
매그놀리아(1차),세륜중학교,303.40220605,0.30
매봉삼성,중앙대학교사범대학부속고등학교,393.7150188,0.39
매원아파트,서울중랑초등학교,438.47218988,0.44
메가스터디타워,서울노량진초등학교,142.61848302,0.14
메세나폴리스,서울성산초등학교,405.83537765,0.41
메이(124-12),서울보광초등학교,282.81681707,0.28
메이저,서울둔촌초등학교,293.57848872,0.29
메이저(474-21),강일중학교,359.33328478,0.36
메이플라워,경원중학교,296.03683699,0.30
메카,대성고등학교,183.73350496,0.18
메카,대성중학교,183.73350496,0.18
메트로,서울도곡초등학교,394.05292243,0.39
메트로IV,문정고등학교,184.83728305,0.18
메트로럭스,신진과학기술고등학교,166.02011739,0.17
메트로아파트,서울천동초등학교,404.35166384,0.40
멤버스카운티601,방배중학교,266.75582294,0.27
면목동2차미소지움아파트,면목고등학교,227.80194123,0.23
면목동금호어울림아파트,서울면남초등학교,133.76475739,0.13
면목삼익아파트,서울중곡초등학교,342.37089849,0.34
면목삼호101,서울면남초등학교,116.01889001,0.12
면목한신,서울중랑초등학교,157.28605604,0.16
명가,명지초등학교,200.8016531,0.20
명경아트빌,장충중학교,332.4143259,0.33
명경아트빌,장충고등학교,332.4143259,0.33
명남(122-10),서울은명초등학교,239.85887136,0.24
명남(23-45),서울은명초등학교,339.09382659,0.34
명남뉴,서울역촌초등학교,146.26244884,0.15
명남뉴(32-3),서울역촌초등학교,467.99510285,0.47
명남뉴타운,서울수리초등학교,60.82620637,0.06
명남더블레스,은평문화예술정보학교,272.49283765,0.27
명남더블레스(39-19),서울신사초등학교,189.75690927,0.19
명남더블레스(39-4),서울신사초등학교,177.65226747,0.18
명남래희안(122-4),서울은명초등학교,212.62302434,0.21
명남아띠팰리스,서울삼광초등학교,258.03127279,0.26
명남아파트,서울구현초등학교,92.93499834,0.09
명남태봉,연서중학교,120.25243325,0.12
명덕,서울가곡초등학교,53.23742957,0.05
명륜동주상복합아남아파트,동성고등학교,260.15074776,0.26
명륜동주상복합아남아파트,동성중학교,260.15074776,0.26
명산그린빌,강신중학교,380.27227662,0.38
명성,동국대학교사범대학부속가람고등학교,138.3524942,0.14
명성,동국대학교사범대학부속가람중학교,138.3524942,0.14
명수대한양,서울흑석초등학교,397.75335257,0.40
명수대현대,서울흑석초등학교,171.11156859,0.17
명인갤러리,역삼중학교,611.43391209,0.61
명인갤러리2차,역삼중학교,589.84917448,0.59
명일동다성이즈빌아파트,성덕여자중학교,157.80681662,0.16
명일동다성이즈빌아파트,성덕고등학교,157.80681662,0.16
명일우성,서울명원초등학교,126.2414814,0.13
명일지에스아파트,명일여자고등학교,356.07190516,0.36
명일진로,서울명원초등학교,435.82740338,0.44
명주캐슬(61-9),서울화곡초등학교,128.17465748,0.13
명지플러스빌아파트(B),서울가재울초등학교,544.51228042,0.54
명지해드는터,영도중학교,251.79711081,0.25
명지해드는터,강서고등학교,251.79711081,0.25
명진,연서중학교,475.74489305,0.48
명진(200-115),서울서신초등학교,301.76693498,0.30
명진(348-7),서울신사초등학교,263.94640661,0.26
명진에버그린,화곡보건경영고등학교,201.97104013,0.20
명진에버그린,화곡중학교,201.97104013,0.20
모닝아트빌,이수중학교,206.77672443,0.21
모델리안1,서울신사초등학교,93.19776184,0.09
모아(365-35),은평문화예술정보학교,218.19220013,0.22
목4현대,서울정목초등학교,187.77047154,0.19
목동2삼성래미안,서울은정초등학교,121.99041926,0.12
목동2차아이파크,서울정목초등학교,67.42314594,0.07
목동가든스위트,월촌중학교,370.18866373,0.37
목동글로리파크,서울정목초등학교,335.6281493,0.34
목동금호베스트빌,양동중학교,375.61582816,0.38
목동길성그랑프리텔,대일고등학교,281.13709328,0.28
목동노블레스,서울정목초등학교,130.74140599,0.13
목동다솔,서울등마초등학교,225.3104697,0.23
목동대림,서울목동초등학교,195.05244601,0.20
목동동보,서울양목초등학교,198.65229626,0.20
목동동화옥시죤-7,서울정목초등학교,255.68480449,0.26
목동두산위브,서울양화초등학교,382.59449486,0.38
목동리버힐,서울목원초등학교,383.86432684,0.38
목동무지개,신서고등학교,532.80820616,0.53
목동미소래,영도중학교,204.212433,0.20
목동미소래,강서고등학교,204.212433,0.20
목동보미리즌빌,대일고등학교,262.1088652,0.26
목동삼성,목일중학교,311.82796729,0.31
목동삼성쉐르빌Ⅱ,목동중학교,115.28039691,0.12
목동성삼하이츠,서울서정초등학교,319.62456518,0.32
목동성원,서울정목초등학교,76.60160519,0.08
목동성원(926-8),목운중학교,335.08011361,0.34
목동성원(926-8),서울목운초등학교,335.08011361,0.34
목동성원초원,서울정목초등학교,269.06700129,0.27
목동센트럴푸르지오,서울목동초등학교,418.15079666,0.42
목동신세계아파트,서울목동초등학교,386.86107309,0.39
목동신시가지1,서울월촌초등학교,298.05593249,0.30
목동신시가지10,서울양명초등학교,214.04043134,0.21
목동신시가지11,서울계남초등학교,253.14980149,0.25
목동신시가지12,서울계남초등학교,333.37726172,0.33
목동신시가지13,서울은정초등학교,389.37631878,0.39
