apartment_name,school_name,distance_meters,distance_km
CS타워,서울효제초등학교,272.56097998,0.27
DK포시즌,서울창림초등학교,97.34669014,0.10
DMC덕원,서울북가좌초등학교,409.07566101,0.41
DMC두산위브,서울연가초등학교,77.00664126,0.08
DMC래미안e편한세상,가재울고등학교,210.60790921,0.21
DMC래미안클라시스,서울연가초등학교,209.75283683,0.21
DMC마포청구아파트,중암중학교,225.06737967,0.23
DMC문영퀸즈파크아파트,연서중학교,146.7459785,0.15
DMC상암센트럴파크1단지,서울상암초등학교,432.07399336,0.43
DMC상암센트럴파크2단지,서울상암초등학교,473.82004363,0.47
DMC서부인터빌,연서중학교,537.53837649,0.54
DMC센트레빌,서울가재울초등학교,355.93334272,0.36
DMC아이파크,서울연가초등학교,425.68246808,0.43
DMC우방,서울증산초등학교,119.92686643,0.12
DMC월드,연서중학교,211.33260822,0.21
DMC이랜드해가든,중암중학교,411.38635108,0.41
DMC자이1단지,서울증산초등학교,596.49398458,0.60
DMC자이2단지,서울증산초등학교,592.57436396,0.59
DMC파크뷰자이1단지,서울가재울초등학교,174.14029581,0.17
DMC파크뷰자이2단지,서울가재울초등학교,174.14029581,0.17
DMC파크뷰자이3단지,서울가재울초등학교,174.14029581,0.17
DMC파크뷰자이4단지,서울가재울초등학교,174.14029581,0.17
DMC파크뷰자이5단지,서울가재울초등학교,174.14029581,0.17
DMC한양,가재울중학교,117.47244785,0.12
DMC현대아파트,서울북가좌초등학교,48.48664831,0.05
DMC휴먼빌아파트,가재울중학교,316.20528504,0.32
DUO302,성동고등학교,279.70492517,0.28
E-아름다운세상,서울성수초등학교,421.55444988,0.42
EGSoulLeader,혜원여자중학교,423.32946143,0.42
EGSoulLeader,혜원여자고등학교,423.32946143,0.42
EL샤틀레,서울공업고등학교,424.8752327,0.42
FIRSTVIEW,서울백운초등학교,568.32574265,0.57
GS자이,서울원효초등학교,402.23904223,0.40
G패밀리움,서울홍제초등학교,575.5442041,0.58
IS아파트,서울중목초등학교,274.50991704,0.27
JS아파트,서울안평초등학교,416.98320449,0.42
K.L.C,서울해누리초등학교,250.81198419,0.25
K.L.C,해누리중학교,250.81198419,0.25
KCC엠파이어리버,성산중학교,409.60700215,0.41
KNP이스트빌,둔촌고등학교,231.27215283,0.23
KNP주상복합1,둔촌고등학교,288.46082766,0.29
LG선릉에클라트(A),진선여자중학교,523.99284563,0.52
LG선릉에클라트(A),진선여자고등학교,523.99284563,0.52
LG선릉에클라트(B),진선여자고등학교,488.4996608,0.49
LG선릉에클라트(B),진선여자중학교,488.4996608,0.49
LG한강자이,서울신용산초등학교,384.03273053,0.38
LIG5차,삼성중학교,88.8265496,0.09
LIGA,동신중학교,281.02451433,0.28
LIG건영,상계제일중학교,179.69330151,0.18
LIG건영캐스빌,서울수송초등학교,468.45466143,0.47
LIG대학마을(건영아파트3차),삼성중학교,84.60924977,0.08
LIG서울역리가,서울의료보건고등학교,160.97185167,0.16
LIPe-푸른아파트,서울개웅초등학교,499.73780405,0.50
MARKHILLS,동양중학교,304.32858437,0.30
MID그린(1동),서일문화예술고등학교,278.16014839,0.28
MID그린(3동),서일문화예술고등학교,290.31381701,0.29
MID그린(5동),서일문화예술고등학교,323.09257869,0.32
MID그린(6동),서일문화예술고등학교,333.05391463,0.33
MID그린(7동),서일문화예술고등학교,312.65559696,0.31
N-Suite(1513-2),서초중학교,271.53302583,0.27
NEWSK아파트,서울금융고등학교,70.56555736,0.07
ParkPalaceII,서울양화초등학교,125.64926481,0.13
